Year,ensemble,disalexi,eemetric,geesebal,ptjpl,sims,ssebop,range_mm
2016,179.79000000000002,98.09000000000005,202.75000000000009,80.83000000000004,171.23000000000002,339.1700000000001,158.5100000000001,258.34000000000003
2017,10.07000000000005,-42.73000000000002,13.529999999999973,-74.16999999999996,25,208.94000000000003,-35.690000000000055,283.11
2018,135.94999999999993,149.60000000000002,145.2700000000001,77.31000000000006,135.90999999999997,276.94999999999993,81.84000000000003,199.63999999999987
2019,-44.36500000000001,-72.065,-11.149999999999977,-141.04500000000002,-40.14499999999998,143.70000000000005,-62.28499999999997,284.74500000000006
2020,381.5100000000001,319.39,438.93,336.64000000000004,382.63,499.44,342.15000000000003,180.05
