Algorithm,Bias_prc,MAE_1e5m3,R2,slope
disalexi,-29.4,0.7434904373363411,0.6035634644711343,0.928692447243332
eemetric,12.9,0.844727438641576,0.620154514852796,1.366049301835566
ensemble,-13.9,0.7463582917133789,0.6089281564347004,1.0803325684414369
geesebal,-40.9,0.920464211330887,0.46822645079120717,0.8060825452999729
ptjpl,-24,0.7845534634800836,0.5592562150054057,0.963421000949755
sims,42.7,0.8781033868056,0.6705433310554458,1.3908322153116566
ssebop,-16.6,0.7347991671746827,0.6241119746735997,1.0596956146266967
