Algorithm,Bias_prc,MAE_1e5m3,R2,slope
disalexi,-42.6,0.8095243525578918,0.560877233105772,0.8930701260540365
eemetric,-3.3,0.882139836239282,0.5741436383100886,1.3558005695876718
ensemble,-31.1,0.8466412317252426,0.5396651229522854,1.0202041484108348
geesebal,-48.9,0.9608145296431436,0.44318781719696926,0.8280361766388173
ptjpl,-40.3,0.9030276079586224,0.47808336161772447,0.9031313642228748
sims,26,0.7277585331688926,0.6451131520564478,1.3227515343630796
ssebop,-36.1,0.8309131489297586,0.5329559119395739,0.9383186211970603
