Bias_prc_m3,MAE_m3,R2_m3,slope_m3,Bias_prc_mm,MAE_mm,R2_mm,slope_mm,time,group
57,0.9151827579017657,0.7188816633480315,0.5290936370326377,41.9,98.75919734352567,0.35484322928865203,0.5353915992182596,Annual,SD6
57.1,0.8646856193890947,0.7943129015814765,0.5680353048702261,41.2,90.97165309063995,0.052893106728813054,0.4430042782758534,Avg,SD6
40.1,0.6637724355011227,0.829906172655054,0.6449223191843265,38.4,93.80882545435836,0.40348024279047223,0.558294686934865,Annual,areaMatch
41.3,0.6694821580922004,0.8935846407233248,0.6818713380271632,39.3,89.88004604600087,0.3244730186482903,0.5843126465707037,Avg,areaMatch
