Algorithm,Bias_prc,MAE_1e7m3,R2,slope
ensemble,0,0.07984327585162627,0.9660889331386359,1.0108953714190934
disalexi,0,0.3300628477818107,0.502744772650715,0.6160522550343112
eemetric,0,0.11268165096900842,0.92275076563107,1.0010578728958417
geesebal,0,0.24973661778678696,0.6505652443460327,0.8078513639321416
ptjpl,0,0.09934947471179285,0.9306328544230417,1.0049985912446824
sims,0,0.01928650815545545,0.9979393822818388,1.009824284839657
ssebop,0,0.14938623912125565,0.8839801419851732,0.9345927416757565
