Algorithm,Bias_prc_Annual,Bias_prc_Growing Season,Bias_prc_Water Year,MAE_1e7m3_Annual,MAE_1e7m3_Growing Season,MAE_1e7m3_Water Year,R2_Annual,R2_Growing Season,R2_Water Year,slope_Annual,slope_Growing Season,slope_Water Year
disalexi,65.4,46.8,50.6,1.3264925760619406,0.9497753760619404,1.1936025751473156,0.7072232567810453,0.6908250380814388,0.31761842437134213,0.40690748489495876,0.4327480646189511,0.2266220698899529
eemetric,108.6,98.5,91.5,2.2049506480619403,2.0002441480619404,1.8577308840619404,0.9654651207132924,0.8776987692996734,0.6371245037359753,0.3775748031939281,0.3877519678379261,0.28503364673370063
ensemble,75,67.5,60.2,1.5220841060619406,1.3702253440619403,1.2227832780619403,0.9804750739907065,0.9301940601120398,0.6705334678915996,0.4195128524266744,0.4681142629951961,0.3369458116933288
geesebal,30.1,25.4,18.8,0.8358638209331711,0.6033279657288169,0.8887202408141918,0.9598701337031603,0.88673729685161,0.7102799824394674,0.3568090871986928,0.39691877484075727,0.30625140776853904
ptjpl,63,54.8,49.4,1.2791523360619403,1.1128271800619403,1.0036873200619405,0.9782740949097234,0.9156509778448454,0.6434532356445835,0.41770010651013945,0.46456133905040425,0.3283128304743915
sims,165.6,144.4,149.9,3.36091316006194,2.9305214960619406,3.0432672320619405,0.9840059928010338,0.9307857702916869,0.5681020888114062,0.5493138390219715,0.6092605521613028,0.4201369688020864
ssebop,48.7,60.5,33.9,0.9881547220619404,1.2283358760619405,0.8633759037288167,0.9697203938953733,0.9098859140901281,0.6940181699965718,0.4419172094074491,0.48907248286788435,0.37111742539425435
