Algorithm,Bias_prc_Annual,Bias_prc_Growing Season,MAE_1e7m3_Annual,MAE_1e7m3_Growing Season,R2_Annual,R2_Growing Season,slope_Annual,slope_Growing Season
disalexi,-20.7,-27.3,1.0320264184664623,1.0442540144664623,0.9023035624626952,0.8201697490932474,2.903236996603569,2.6161915438911914
eemetric,17.8,16.1,1.3350735593810872,1.091944088933171,0.9184094756297583,0.9249331685729513,3.9579289670487823,3.6932420038361142
ensemble,-10.2,-10.7,1.1983478133810872,0.9705346664664622,0.9203219069284007,0.9268591634102348,3.408246679611411,3.169694244875009
geesebal,-36.5,-37.4,1.3422197684664625,1.2864535244664623,0.8245425674462588,0.8054597573355091,2.9568335288505443,2.699565120146237
ptjpl,-19.5,-21.2,1.1667677133810872,1.1132392884664624,0.8922983175430302,0.8914820203574814,3.2663902029295193,3.0134423812667914
sims,65,57.3,1.520794391728817,1.2282935597288167,0.9724615173699894,0.9763187074817687,3.732983250752348,3.1942533261797887
ssebop,-27.9,-16.9,1.1548849873810871,1.0032701444664625,0.8721056052428385,0.9200031771479301,2.9780323458405142,3.0532731872969707
