Year,precip_mm_mean,ETo_mm_mean,ETr_mm_mean
2000,445.80505468336605,1478.7982261004872,2086.6084692375784
2001,549.87456932072,1390.9404171149672,1929.691519425943
2002,297.93355692404106,1566.481089726942,2247.765118369372
2003,374.24548716625804,1477.4311744428517,2091.6497131874967
2004,535.0486387592099,1424.4857520553626,2003.5643588155049
2005,597.0896416423084,1489.7070522373758,2110.4784084240246
2006,546.0605248564797,1535.6427511868196,2187.153781864272
2007,467.7860223418645,1419.5876833330224,1978.6419465149545
2008,604.2624859919433,1422.8868112662174,2009.364118502025
2009,657.5415765951524,1320.5326261399778,1833.1478642726001
2010,501.426635877363,1508.9144715261832,2141.612290754051
2011,601.5870281808504,1679.9870834788467,2438.384240571747
2012,335.5318828444981,1846.544830972816,2716.3282798696164
2013,421.00536797516276,1544.9999834871721,2219.37125084475
2014,502.37234912961736,1491.3254831184415,2132.802072942299
2015,572.1243833437653,1497.4130451046287,2117.1897295012386
2016,541.7549284400052,1519.2749420330542,2151.2207183613973
2017,722.4957018964403,1501.9347333844526,2132.1046816087955
2018,675.8869822207237,1431.8021928604041,2009.5150177977073
2019,746.7452470300958,1343.8704347260702,1863.4127573770068
2020,398.83883975402216,1573.5203296768525,2260.0551143187868
