Algorithm,Bias_prc_Original,Bias_prc_PrecipCorrect,MAE_1e7m3_Original,MAE_1e7m3_PrecipCorrect,R2_Original,R2_PrecipCorrect,slope_Original,slope_PrecipCorrect
disalexi,36,0,0.7319182137357203,0.3463165751635793,0.6781248655224822,0.4722770882913915,0.45720243697105567,0.580919589596582
eemetric,83.9,0,1.7055407677357202,0.182273254319129,0.8649359517332906,0.8209227563895144,0.411430164183036,0.9513135601003225
ensemble,54.8,0,1.1149808897357203,0.12111153919399786,0.9174551305361148,0.9279302149577099,0.4984285540646508,1.0023376117932192
geesebal,16.3,0,0.5104504599405416,0.17523205750836918,0.8783711044535997,0.7811201616350852,0.425628669986881,0.8530064483446046
ptjpl,42.7,0,0.8673496957357203,0.13320633423151568,0.9048479228127684,0.8874358319220534,0.49551562091590556,0.9634598804175986
sims,124.6,-0,2.5334909877357203,0.12388442337600258,0.907777045960091,0.9158205122252064,0.6354928059910033,1.011048781102956
ssebop,49.1,0,0.9973662097357203,0.1272699078651208,0.9006773979514764,0.88465902826994125,0.522304658861657,0.967436978728509
