Algorithm,Bias_prc,MAE_1e5m3,R2,slope
disalexi,-35.5,0.6423657801694247,0.27127328130709377,0.7307318867771433
eemetric,3.9,0.6410055148759345,0.27375581649763725,0.9943920624461237
ensemble,-20.9,0.6182068648577286,0.2798102335565339,0.8469692268890456
geesebal,-45.9,0.7732046292923699,0.2092625560505438,0.678186151660656
ptjpl,-31,0.6612344566331528,0.25439071056750656,0.7619385299704408
sims,33.9,0.638720811861593,0.2957164762030901,0.9581176431637133
ssebop,-23.6,0.6117839384864435,0.2932525320629688,0.8428661254065758
