UID,WR_GROUP,GRP_ACRES,TRGT_ACRES,OVLP_ACRES,OVLP_PCT
373795,230,215,122.871155128114,122.660946204716,0.998289192258516
373987,230,215,61.4337518424195,60.878209925272,0.990957056984368
1431757,230,215,23.7565321411013,23.6884582732693,0.997134519995272
378326,230,215,40.743874508215,39.3044960710775,0.964672519378409
1231099,230,215,20.7329967084424,20.5906671445003,0.993135118577231
1379735,230,215,41.4541230925261,41.2168912522507,0.99427724379199
574742,230,215,4.86128104784448,4.69710872026292,0.966228587492519
350877,723,246,48.5772064209449,48.5774108619443,1.00000420857877
1370615,723,246,32.3644056107128,32.17556704733,0.994165239255305
351770,723,246,25.8767462541031,25.8767504922665,1.0000001637827
1371899,723,246,90.7322475234049,90.7322508662577,1.00000003684305
569065,723,246,40.4114891358147,40.2619564475142,0.996299748128608
569066,723,246,25.0941358206363,24.5915983460741,0.979973907921988
1228246,723,246,24.2664984980055,23.6417469881836,0.974254567057822
1371021,723,246,5.57197381321645,5.57197548608815,1.00000030022964
569067,723,246,22.9672372231157,22.9133198732676,0.997652423348773
348378,777,208,38.6622299931619,38.662231233666,1.00000003208568
350513,777,208,71.4883685867542,71.0928671685594,0.994467611640699
352259,777,208,35.750383326414,35.7503823561951,0.999999972861301
352422,777,208,14.645950631882,14.6459505666865,0.999999995548567
569696,777,208,2.14241783268547,2.14241785751664,1.00000001159026
1371350,777,208,5.65336609558876,5.65336216477739,0.999999304695416
347983,777,208,20.5080907182551,20.3906422222393,0.994273065317031
351071,777,208,2.06312977901358,1.9526288790542,0.946440160438082
352988,777,208,20.4717222246108,20.4342078692185,0.998167503692134
352056,777,208,12.2171739028329,12.217175474796,1.0000001286683
1371612,777,208,5.60626890065471,5.60631443933398,1.00000812281396
1228176,777,208,4.70671224825359,4.63578092890642,0.984929752318408
351640,912,318,22.0802420031484,22.0802386503148,0.999999848152316
352154,912,318,109.214615486185,75.1707225984284,0.688284459582584
352346,912,318,24.9800731288003,24.9800625787335,0.999999577660692
348207,912,318,5.62796862730359,5.62796559763401,0.999999461676179
1370463,912,318,62.8868645748484,62.8864818497849,0.999993914069876
571250,912,318,9.58958813450151,9.58960169488703,1.00000141407382
1370952,912,318,62.6197121163217,62.6197029099955,0.999999852980382
351941,912,318,8.40652293424607,8.40651850223393,0.999999472788908
352548,912,318,49.9666078469889,49.9666196783863,1.00000023678608
352063,912,318,24.8934184061231,24.8424638901299,0.99795309285523
349143,912,318,5.49012564998321,4.6354167194973,0.84431887629229
350164,912,318,53.969980539524,53.9703629701075,1.00000708598705
350962,912,318,2.77735635607858,2.77582768362964,0.999449594415353
1228100,912,318,20.5703615246908,20.049580358774,0.974682935674627
347541,1937,240,38.837368448118,38.8375228683507,1.00000397607353
352351,1937,240,53.8873425310627,53.8871339120698,0.999996128608627
354499,1937,240,52.1704819492745,52.1706859511719,1.00000391029352
1370601,1937,240,13.5027301707963,13.5027277879991,0.999999823532192
348323,1937,240,87.6151053922809,87.6151224342386,1.00000019450936
354542,1937,240,7.26321842427598,7.26321722258149,0.999999834550688
1371197,1937,240,6.14012110816357,6.14012446723612,1.00000054706943
570890,1937,240,3.4033407107431,3.40334178287493,1.00000031502336
570891,1937,240,33.6696968001231,33.669696584435,0.999999993594001
348398,1937,240,15.4160560415597,15.4160558784588,0.999999989420069
350189,2023,0,44.5777982845805,44.577900049015,1.00000228285017
353373,2023,0,161.501533755126,161.501362719968,0.999998940968827
1371323,2023,0,50.1181083904341,50.1181072121039,0.999999976488933
353997,2023,0,28.3188776990859,28.3189036030365,1.00000091472377
571392,2023,0,10.0383219673858,10.0383257841117,1.00000038021554
802107,2126,60,47.9187058877484,47.3308939829652,0.987733143166257
802109,2126,60,158.963786126855,51.414208448774,0.323433466838447
802110,2126,60,16.6664272167218,8.21487192500803,0.492899396984488
350827,2297,240,5.97141961822123,5.97141944244027,0.999999970562953
1371315,2297,240,85.3025926215976,55.7679569363156,0.65376625988031
348288,2297,240,88.8988486712732,88.7588009066608,0.998424639163435
350829,2297,240,5.35919303136436,5.35919424880872,1.00000022716934
1430308,2297,240,35.3126812565114,35.3126926261317,1.00000032196989
1430309,2297,240,2.36738793212732,2.367387795203,0.999999942162284
349766,2297,240,42.7876947631863,42.7876968728229,1.00000004930475
351488,2297,240,1.14128014354868,1.14127924396079,0.999999211772941
352849,2297,240,10.7725947777035,4.96892377827833,0.461255981573051
569056,2297,240,12.7673870688129,5.70561038396291,0.446889434244543
349798,2297,240,6.75214348701412,6.75214402200977,1.00000007923345
350086,2297,240,102.797305641632,85.9713341006282,0.83631894400363
571183,2297,240,2.94575587083948,2.64886113734644,0.899212716018986
571185,2297,240,1.14408852299539,1.00803949356718,0.881085224881012
571367,2297,240,10.6297254503378,3.0484914848054,0.286789296586067
351967,2297,240,11.7375061634562,11.7375032114076,0.999999748494392
347971,2297,240,11.5745063160408,10.9287789005181,0.944211234769662
1430310,2297,240,3.47115115748311,3.31471905251704,0.954933652304702
349782,2393,240,6.72188452919444,6.72188499539587,1.00000006935576
351519,2393,240,131.39959314812,112.497014493755,0.856144313680967
569069,2393,240,6.32437152890419,6.32437367240674,1.00000033892736
569099,2393,240,1.52292415895327,1.52292444869045,1.00000019025056
1371575,2393,240,34.9707378411712,34.9707391076036,1.00000003621406
349137,2393,240,35.8520776558069,35.7464877912595,0.997054846707601
351635,2393,240,29.5887163722227,11.1723596613408,0.377588521272562
353410,2393,240,32.816076848047,32.8160784814451,1.00000004977433
349509,2393,240,65.295769677811,65.2957666577219,0.999999953747553
351131,2393,240,7.40888684901315,7.4088884926626,1.00000022184837
