WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
723,2016,ensemble,13,3,2096742.4,0,13,3,1377542.01,NA,274776.6,1,981014.5389301374,0.4678755668460453,124581.66738732,376357.65
723,2016,geesebal,13,3,2096742.4,0,13,3,1202697.96,NA,121919.7,1,981014.5389301374,0.4678755668460453,124581.66738732,376357.65
723,2016,ptjpl,13,3,2096742.4,0,13,3,1396664.31,NA,288397.1,1,981014.5389301374,0.4678755668460453,124581.66738732,376357.65
723,2016,sims,13,3,2096742.4,0,13,3,1820182.57,NA,695660.8,1,981014.5389301374,0.4678755668460453,124581.66738732,376357.65
723,2016,ssebop,13,3,2096742.4,0,13,3,1343463.81,NA,238134.3,1,981014.5389301374,0.4678755668460453,124581.66738732,376357.65
723,2017,disalexi,13,2,2096742.4,0,13,4,1538718.29,NA,235818.4,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,eemetric,13,2,2096742.4,0,13,4,1641655.33,NA,340393,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,ensemble,13,2,2096742.4,0,13,4,1579592.91,NA,276858.8,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,geesebal,13,2,2096742.4,0,13,4,1380659.37,NA,100381.9,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,ptjpl,13,2,2096742.4,0,13,4,1613818.32,NA,308148.1,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,sims,13,2,2096742.4,0,13,4,2079111.26,NA,768021.2,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2017,ssebop,13,2,2096742.4,0,13,4,1513936.49,NA,213330.8,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,disalexi,13,4,2096742.4,0,13,3,1642948.84,NA,381557.8,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,eemetric,13,4,2096742.4,0,13,3,1515078.42,NA,275065.2,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,ensemble,13,4,2096742.4,0,13,3,1501582.23,NA,261926.3,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,geesebal,13,4,2096742.4,0,13,3,1309846.61,NA,107682.9,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,ptjpl,13,4,2096742.4,0,13,3,1540641.23,NA,318867.7,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,sims,13,4,2096742.4,0,13,3,1831664.6,NA,574613.6,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2018,ssebop,13,4,2096742.4,0,13,3,1422325.03,NA,186297.4,520,912721.0352194814,0.43530432504225675,76475.87502984,376357.65
723,2019,disalexi,13,3,2096742.4,0,13,5,1544179.97,NA,244402.9,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,eemetric,13,3,2096742.4,0,13,5,1622421.33,NA,345136.6,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,ensemble,13,3,2096742.4,0,13,5,1577598.02,NA,279767.2,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,geesebal,13,3,2096742.4,0,13,5,1426194.18,NA,147838.8,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,ptjpl,13,3,2096742.4,0,13,5,1566500.78,NA,257625.6,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,sims,13,3,2096742.4,0,13,5,2101903.56,NA,780428.4,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2019,ssebop,13,3,2096742.4,0,13,5,1463229.88,NA,181671.8,520,890162.6170663091,0.4245455317097175,66608.02018728,376357.65
723,2020,disalexi,13,2,2096742.4,0,13,5,1569023.03,NA,917610.5,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,eemetric,13,2,2096742.4,0,13,5,1714689.12,NA,1063968.8,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,ensemble,13,2,2096742.4,0,13,5,1609182.26,NA,957458.8,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,geesebal,13,2,2096742.4,0,13,5,1518983.78,NA,868541.6,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,ptjpl,13,2,2096742.4,0,13,5,1595618.07,NA,940648.1,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,sims,13,2,2096742.4,0,13,5,1926228.67,NA,1264837.1,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
723,2020,ssebop,13,2,2096742.4,0,13,5,1464644.16,NA,815053.4,520,890162.6170663091,0.4245455317097175,65374.53833196,376357.65
777,2016,disalexi,13,4,986570.43,0,0,4,685417.51,NA,209386.6,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,eemetric,13,4,986570.43,0,0,4,713299.01,NA,235157,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,ensemble,13,4,986570.43,0,0,4,701591.03,NA,224984.7,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,geesebal,13,4,986570.43,0,0,4,635802.92,NA,162566.3,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,ptjpl,13,4,986570.43,0,0,4,678590.55,NA,204161.1,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,sims,13,4,986570.43,0,0,4,867699.41,NA,389244.5,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2016,ssebop,13,4,986570.43,0,0,4,686365.12,NA,209777.2,1,457071.94018577365,0.463293776386318,210925.39725972,550372.47
777,2017,disalexi,13,1,986570.43,0,0,3,774069.89,NA,79083.5,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,eemetric,13,1,986570.43,0,0,3,936586.54,NA,233702.4,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,ensemble,13,1,986570.43,0,0,3,829661.36,NA,127911.8,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,geesebal,13,1,986570.43,0,0,3,797451.47,NA,95655.4,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,ptjpl,13,1,986570.43,0,0,3,784683.75,NA,85122.2,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,sims,13,1,986570.43,0,0,3,972086.02,NA,268621.9,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2017,ssebop,13,1,986570.43,0,0,3,795198.49,NA,97006.9,1,534743.0954979204,0.5420222208544405,168987.01417884,550372.47
777,2018,disalexi,13,2,986570.43,0,0,4,870684.01,NA,270796.4,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,eemetric,13,2,986570.43,0,0,4,929961.55,NA,330074.1,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,ensemble,13,2,986570.43,0,0,4,840682.69,NA,240795,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,geesebal,13,2,986570.43,0,0,4,819039.43,NA,219151.8,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,ptjpl,13,2,986570.43,0,0,4,785187.5,NA,185299.9,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,sims,13,2,986570.43,0,0,4,943554.37,NA,343666.8,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2018,ssebop,13,2,986570.43,0,0,4,796605.13,NA,196717.6,1,534743.0954979204,0.5420222208544405,139383.44965116002,550372.47
777,2019,disalexi,13,2,986570.43,0,0,3,848886.55,NA,325337.4,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2019,eemetric,13,2,986570.43,0,0,3,870844.25,NA,347294.9,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
