UID,within_lema,within_buffer,area_m2
177799,FALSE,FALSE,600292.444251833
177806,FALSE,FALSE,47681.447906736284
178579,FALSE,FALSE,44817.21885572176
179074,FALSE,FALSE,183642.82933232188
179231,FALSE,FALSE,289230.69863692205
179390,FALSE,FALSE,155599.44435201585
179888,FALSE,FALSE,380001.74559771176
180429,FALSE,FALSE,149311.15471841255
180655,FALSE,FALSE,503097.4986910175
180689,FALSE,FALSE,127300.02173934644
180738,FALSE,FALSE,356035.09253023996
180778,FALSE,FALSE,598561.2311384868
180850,FALSE,FALSE,487374.8951935163
180886,FALSE,FALSE,575500.2192060221
347501,TRUE,FALSE,494486.73123711895
347502,FALSE,FALSE,96917.64845456276
347503,FALSE,FALSE,33322.05634750021
347504,FALSE,TRUE,22608.82939836425
347505,FALSE,TRUE,35046.536341265266
347506,FALSE,TRUE,33199.59072184272
347507,FALSE,FALSE,91362.31609898247
347508,FALSE,FALSE,750328.1426583147
347509,FALSE,FALSE,318656.8917552843
347510,FALSE,FALSE,138425.76300373714
347512,FALSE,FALSE,22095.573286234285
347513,FALSE,FALSE,142479.35682189307
347514,FALSE,FALSE,27648.769157223403
347515,FALSE,FALSE,527088.3809740618
347516,FALSE,FALSE,213051.74196070246
347517,FALSE,FALSE,153644.7354166468
347518,FALSE,FALSE,226052.87118016178
347519,TRUE,FALSE,4925.244424630073
347521,FALSE,FALSE,346748.66230825847
347522,FALSE,TRUE,581879.9000114077
347523,FALSE,FALSE,20860.426056292607
347524,TRUE,FALSE,28355.84172455198
347525,FALSE,FALSE,6753.319435828598
347526,FALSE,FALSE,29903.394361260463
347528,TRUE,FALSE,296494.07807004265
347529,TRUE,FALSE,504242.1288441778
347530,FALSE,FALSE,49377.2975056204
347531,FALSE,FALSE,25197.130910781038
347534,FALSE,FALSE,403585.4262454731
347535,FALSE,FALSE,142850.29346933693
347536,FALSE,TRUE,518608.3233264573
347537,FALSE,FALSE,12380.117958937073
347539,FALSE,FALSE,53937.92551403446
347540,FALSE,FALSE,17726.054072046187
347541,FALSE,FALSE,157216.92998262108
347542,TRUE,FALSE,317288.1969357837
347543,TRUE,FALSE,88785.64606682863
347548,FALSE,TRUE,35154.505515910045
347549,TRUE,FALSE,212433.50496551767
347550,FALSE,TRUE,7910.450973683968
347551,FALSE,FALSE,73604.19642955207
347552,FALSE,FALSE,43599.555606388254
347553,FALSE,FALSE,188916.77285750955
347557,FALSE,TRUE,16614.452410027967
347558,FALSE,FALSE,11107.603914213221
347562,FALSE,FALSE,139041.5218946524
347563,FALSE,TRUE,18922.540768648963
347564,FALSE,FALSE,632286.8739892791
347565,FALSE,FALSE,93531.04404043127
