UID,WR_GROUP,GRP_ACRES,TRGT_ACRES,OVLP_ACRES,OVLP_PCT
373795,230,215,122.87115512803,122.660946669419,0.998289196041237
373987,230,215,61.4337518424231,60.8782133048215,0.990957111995591
1380305,230,215,120.374506379094,0.115364690425587,9.5838142058311e-4
1431757,230,215,23.7565321412008,23.6884529028485,0.997134293930287
378326,230,215,40.7438745083842,39.3045151073743,0.964672986593023
1231099,230,215,20.7329967086906,20.5906597199377,0.993134760461653
1379735,230,215,41.4541230923964,41.2168834397118,0.994277055332811
574742,230,215,4.86128104784853,4.6971069664881,0.966228226727791
350877,723,246,48.5772064211399,48.5774077362987,1.00000414423088
351635,723,246,29.5887163719705,0.0735557804593527,0.0024859402325757
1370615,723,246,32.3644056106804,32.1755685876935,0.994165286850669
349137,723,246,35.852077655518,0.105658784835231,0.0029470756437171
351770,723,246,25.8767462543108,25.8767509533202,1.00000018159197
353458,723,246,5.19896236754363,9.52195875541583e-5,1.83151138289826e-5
1371899,723,246,90.7322475232991,90.7322459174019,0.9999999823007
569065,723,246,40.4114891358685,40.2619604893698,0.99629984814477
569066,723,246,25.0941358207959,24.5915980378024,0.979973895631143
1228246,723,246,24.2664984978273,23.6417459820078,0.974254525601397
1371021,723,246,5.57197381313909,5.57197196112887,0.999999667620437
351519,723,246,131.399593148289,0.042736720533129303,3.2524241140457e-4
569067,723,246,22.9672372230854,22.9133186700024,0.997652370959589
348378,777,208,38.6622299931293,38.6622339263867,1.00000010173385
350513,777,208,71.4883685868498,71.0928570514816,0.994467470118755
352259,777,208,35.7503833262734,35.750384748224,1.00000003977442
352422,777,208,14.645950631982,14.6459520931599,1.00000009976668
569696,777,208,2.1424178326812,2.14241682150446,0.999999528020759
1371350,777,208,5.65336609557718,5.65336409889401,0.999999646815166
347983,777,208,20.5080907182189,20.3906451337343,0.994273207286907
351071,777,208,2.06312977903776,1.95262951116505,0.946440466811423
352988,777,208,20.4717222245823,20.4342088761077,0.998167552877911
352056,777,208,12.2171739028773,12.2171738497693,0.999999995653007
1371612,777,208,5.60626890078139,5.60631512512918,1.00000824511785
1228176,777,208,4.70671224824604,4.63578308746189,0.984930210932147
1371882,777,208,9.80386037212776,0.00170394095788393,1.7380306259034e-4
348125,912,318,62.3094865928443,0.787995370988135,0.0126464751047817
351640,912,318,22.0802420032879,22.0802429967933,1.00000004499522
352154,912,318,109.214615486024,75.1707122632769,0.688284364952019
352346,912,318,24.9800731290116,24.9800686724642,0.999999821595903
569284,912,318,74.6201841502846,0.0975173256906886,0.00130684916957977
348207,912,318,5.62796862749493,5.62797011807694,1.00000026485258
1370463,912,318,62.8868645747532,62.8864864960649,0.999993987954546
569283,912,318,14.2674036668185,4.293391810313e-4,3.00923132938202e-5
569285,912,318,250.334337995617,0.0458749505644466,1.8325472618642e-4
571250,912,318,9.58958813446388,9.5895990188053,1.00000113501657
1370952,912,318,62.6197121161759,62.6196992210327,0.999999794072142
351941,912,318,8.40652293435369,8.40651705069449,0.999999300107875
352548,912,318,49.966607846778,49.9666153111512,1.00000014938723
1228201,912,318,18.0919727609744,0.00143686807935748,7.94201991314566e-5
352063,912,318,24.8934184063227,24.8424562725002,0.997952786837441
349143,912,318,5.49012564993621,4.63541763759417,0.84431904352645
350164,912,318,53.969980539446,53.9703590824713,1.00000701395519
350962,912,318,2.7773563559956,2.77582700390345,0.999449349706654
1228100,912,318,20.5703615247795,20.0495768633757,0.97468276574641
347541,1937,240,38.8373684479719,38.8375169744525,1.00000382431886
352351,1937,240,53.8873425310626,53.8871340909514,0.99999613192818
352644,1937,240,95.1770057863876,1.01344009700457,0.0106479510321968
354499,1937,240,52.1704819492316,52.1706887354427,1.00000396366304
349100,1937,240,70.0967218081209,0.310512601962552,0.00442977351797611
569753,1937,240,1.02624513158126,0.143190807211524,0.139528854076894
1370601,1937,240,13.502730170774,13.502727698604,0.999999816913322
348323,1937,240,87.6151053922725,87.6151236885649,1.00000020882578
354226,1937,240,24.6720603874427,0.86957468394256,0.0352453208320269
354542,1937,240,7.26321842425559,7.26321552934226,0.999999601428298
569750,1937,240,11.1613749514727,0.279284256675209,0.0250223881815169
351302,1937,240,9.26572755962056,0.147029498998375,0.0158681008104663
569755,1937,240,121.604600681204,0.619879436140691,0.00509749986980962
1370618,1937,240,81.6936649724969,0.129281052634443,0.00158251013316598
1371197,1937,240,6.14012110823437,6.14012336321461,1.00000036725338
349615,1937,240,12.2695319319379,0.00342675470260022,2.7928976603258e-4
349975,1937,240,38.6295025401671,0.32772180923,0.00848371808281076
347701,1937,240,3.96025498846591,0.0251394933563373,0.00634794815726642
349511,1937,240,7.8071537048121,0.327311611564928,0.0419245763488918
569751,1937,240,18.553582191332,0.0266658412498749,0.00143723411333112
570890,1937,240,3.40334071083003,3.40334086309241,1.00000004473909
570891,1937,240,33.669696799962,33.669701882934,1.00000015096578
348398,1937,240,15.4160560415728,15.4160488203409,0.999999531577218
354692,1937,240,27.4931605591823,0.241195059364871,0.00877291131536769
350189,2023,0,44.5777982842165,44.5779030183202,1.00000234946785
353373,2023,0,161.501533755211,161.501376328189,0.999999025228937
1371323,2023,0,50.1181083903594,50.1181079446435,0.99999999110669
348710,2023,0,52.0620771282334,0.798645885668257,0.0153402616591943
353997,2023,0,28.318877698914,28.3189000395581,1.00000078889581
350188,2023,0,24.7312747612541,0.645279442772544,0.0260916369658182
571392,2023,0,10.0383219674231,10.0383259891928,1.00000040064164
569703,2023,0,16.9127035634474,0.392624017868096,0.0232147401150373
