WR_GROUP,Year,WaterUse_m3,Irrigation_m3,IrrArea_m2
8434,2016,108546.40326816001,108546.40326816001,404685.64
8450,2016,106079.43955752,106079.43955752,445154.204
8454,2016,45638.828646840004,45638.828646840004,489669.62440000003
8463,2016,123348.185532,123348.185532,526091.332
8469,2016,67729.81331940684,67729.81331940684,157827.3996
8471,2016,556300.31674932,556300.31674932,987432.9616
8472,2016,131982.55851924,131982.55851924,497763.3372
8513,2016,74008.91131920001,74008.91131920001,364217.076
8515,2016,19735.70968512,19735.70968512,117358.8356
8528,2016,106079.43955752,106079.43955752,465388.48600000003
8591,2016,32963.78818635545,0,0
8706,2016,851102.4801708,851102.4801708,2913736.608
8714,2016,241420.63564578924,241420.63564578924,971245.5360000001
8723,2016,150484.78634904,150484.78634904,485622.76800000004
8765,2016,140616.93150648,140616.93150648,995526.6744
8778,2016,108546.40326816001,108546.40326816001,485622.76800000004
8784,2016,20969.19154044,20969.19154044,93077.69720000001
8804,2016,298502.60898744,298502.60898744,1294994.048
8807,2016,183788.79644268,183788.79644268,364217.076
8830,2016,238061.99807676,238061.99807676,505857.05
8858,2016,72775.42946388,72775.42946388,445154.204
8900,2016,391013.74813644,391013.74813644,1978912.7796
8918,2016,49339.2742128,49339.2742128,194249.1072
8919,2016,500793.63325992,500793.63325992,971245.5360000001
8923,2016,236949.0968887368,236949.0968887368,477529.0552
8940,2016,177621.38716608,177621.38716608,445154.204
8947,2016,144317.37707244,144317.37707244,364217.076
8948,2016,210925.39725972,210925.39725972,485622.76800000004
8949,2016,135683.0040852,135683.0040852,485622.76800000004
8952,2016,156652.19562564002,156652.19562564002,485622.76800000004
8998,2016,1103966.2605114,1103966.2605114,2670925.224
9046,2016,543965.49819612,543965.49819612,1776569.9596
9053,2016,424317.75823008,424317.75823008,1910116.2208
9067,2016,239688.42891021224,239688.42891021224,607028.46
9080,2016,176387.90531076,176387.90531076,485622.76800000004
9117,2016,167753.53232352,167753.53232352,485622.76800000004
9118,2016,119647.73996604,119647.73996604,485622.76800000004
9131,2016,170216.94531318554,170216.94531318554,505857.05
9166,2016,415683.38524284,415683.38524284,1885835.0824
9176,2016,171453.97788948,171453.97788948,485622.76800000004
9185,2016,77709.35688516,77709.35688516,517997.6192
9193,2016,106430.40069231515,106430.40069231515,497763.3372
9279,2016,209698.8427171759,209698.8427171759,995526.6744
9281,2016,106079.43955752,106079.43955752,497763.3372
9303,2016,272599.49002572,272599.49002572,963151.8232
9325,2016,145491.73828790768,145491.73828790768,898402.1208
9337,2016,177621.38716608,177621.38716608,1339509.4684000001
9340,2016,413808.5175036709,0,0
9355,2016,NA,NA,NA
9356,2016,119647.73996604,119647.73996604,485622.76800000004
9377,2016,381881.93352524494,381881.93352524494,946964.3976
9407,2016,180088.35087672,180088.35087672,987432.9616
9412,2016,362978.8527669966,362978.8527669966,1861553.9440000001
9416,2016,69074.98389792,69074.98389792,242811.38400000002
9426,2016,162819.60490224,162819.60490224,849839.844
9427,2016,441586.50420456,441586.50420456,1497336.868
9494,2016,0,0,0
9500,2016,120179.41311427424,0,0
9505,2016,185022.278298,185022.278298,849839.844
9525,2016,205991.46983844,205991.46983844,991479.8180000001
9526,2016,240528.9617874,240528.9617874,971245.5360000001
9533,2016,129515.5948086,129515.5948086,509903.90640000004
9538,2016,379912.41143856,379912.41143856,922683.2592
9577,2016,228194.1432342,228194.1432342,647497.024
9589,2016,245462.88920868002,245462.88920868002,971245.5360000001
9620,2016,83876.76616176,83876.76616176,485622.76800000004
9635,2016,148017.82263840002,148017.82263840002,505857.05
9706,2016,194890.13314056,194890.13314056,489669.62440000003
9795,2016,164053.08675756,164053.08675756,501810.1936
9815,2016,0,0,0
9825,2016,177621.38716608,177621.38716608,683918.7316
9915,2016,135683.0040852,135683.0040852,250905.0968
9917,2016,113225.60242097318,113225.60242097318,445154.204
9979,2016,139383.44965116002,139383.44965116002,607028.46
9997,2016,99912.03028092001,99912.03028092001,465388.48600000003
10008,2016,69113.38316611423,69113.38316611423,501810.1936
10041,2016,88810.69358304,88810.69358304,485622.76800000004
10042,2016,202291.02427248,202291.02427248,526091.332
10053,2016,118414.25811072,118414.25811072,445154.204
10075,2016,87594.92369300795,87594.92369300795,485622.76800000004
10079,2016,352614.98340262263,352614.98340262263,971245.5360000001
10084,2016,277533.417447,277533.417447,971245.5360000001
10086,2016,489692.29656204,489692.29656204,1448774.5912000001
10093,2016,97445.06657028,97445.06657028,485622.76800000004
10107,2016,149251.30449372,149251.30449372,485622.76800000004
10146,2016,166520.0504682,166520.0504682,971245.5360000001
10173,2016,74008.91131920001,74008.91131920001,453247.9168
10223,2016,193656.65128524,193656.65128524,485622.76800000004
10232,2016,92511.139149,92511.139149,485622.76800000004
10268,2016,23436.15525108,23436.15525108,477529.0552
10280,2016,172687.4597448,172687.4597448,971245.5360000001
10285,2016,223449.36930586197,223449.36930586197,971245.5360000001
10302,2016,35297.11911251255,35297.11911251255,210436.53280000002
10343,2016,110955.48795566417,110955.48795566417,465388.48600000003
10353,2016,66608.02018728,66608.02018728,161874.256
10383,2016,173920.94160012002,173920.94160012002,497763.3372
10439,2016,136916.48594052,136916.48594052,485622.76800000004
10473,2016,0,0,0
10574,2016,106079.43955752,106079.43955752,485622.76800000004
10575,2016,251630.29848528001,251630.29848528001,971245.5360000001
10583,2016,168987.01417884,168987.01417884,485622.76800000004
10584,2016,188722.72386396,188722.72386396,485622.76800000004
10624,2016,240680.58665801483,240680.58665801483,857933.5568
10627,2016,378766.5127721408,378766.5127721408,1456868.304
10638,2016,127048.63109796001,127048.63109796001,461341.6296
10639,2016,173920.94160012002,173920.94160012002,485622.76800000004
10651,2016,242995.92549804001,242995.92549804001,995526.6744
10711,2016,225727.17952356001,225727.17952356001,465388.48600000003
10714,2016,368811.07474068,368811.07474068,975292.3924
10761,2016,128282.11295328,128282.11295328,465388.48600000003
10762,2016,208458.43354908001,208458.43354908001,1392118.6016
10772,2016,186255.76015332,186255.76015332,1201916.3508000001
10773,2016,230661.10694484,230661.10694484,295420.5172
10778,2016,144317.37707244,144317.37707244,489669.62440000003
10780,2016,118414.25811072,118414.25811072,971245.5360000001
10781,2016,138149.96779584,138149.96779584,971245.5360000001
10855,2016,341674.47392364003,341674.47392364003,971245.5360000001
10859,2016,426784.72194072,426784.72194072,1416399.74
10869,2016,139383.44965116002,139383.44965116002,485622.76800000004
10886,2016,144317.37707244,144317.37707244,728434.152
10899,2016,235595.03436612,235595.03436612,485622.76800000004
10900,2016,205991.46983844,205991.46983844,485622.76800000004
10901,2016,172687.4597448,172687.4597448,485622.76800000004
10920,2016,64141.05647664,64141.05647664,141639.97400000002
11025,2016,290356.61155087885,0,0
11026,2016,99912.03028092001,99912.03028092001,1396165.458
11057,2016,141850.4133618,141850.4133618,497763.3372
11128,2016,NA,NA,NA
11152,2016,100843.5040117256,100843.5040117256,505857.05
11161,2016,415432.05627867416,415432.05627867416,1315228.33
11171,2016,111803.7998644114,111803.7998644114,465388.48600000003
11206,2016,149251.30449372,149251.30449372,485622.76800000004
11230,2016,103612.47584688,103612.47584688,404685.64
11273,2016,111013.3669788,111013.3669788,485622.76800000004
11277,2016,74008.91131920001,74008.91131920001,615122.1728000001
11278,2016,NA,NA,NA
11287,2016,99912.03028092001,99912.03028092001,372310.78880000004
11288,2016,135683.0040852,135683.0040852,485622.76800000004
11349,2016,227242.735498435,227242.735498435,526091.332
11362,2016,107305.21051878319,107305.21051878319,631309.5984
11363,2016,45638.828646840004,45638.828646840004,489669.62440000003
11391,2016,178990.02732885958,178990.02732885958,465388.48600000003
11403,2016,115947.29440008,115947.29440008,485622.76800000004
11427,2016,NA,NA,NA
11428,2016,99912.03028092001,99912.03028092001,424919.922
11439,2016,178854.8690214,178854.8690214,574653.6088
11455,2016,111013.3669788,111013.3669788,283279.94800000003
11456,2016,182555.31458736002,182555.31458736002,493716.4808
11463,2016,NA,NA,NA
11512,2016,149251.30449372,149251.30449372,1497336.868
11551,2016,196123.61499588,196123.61499588,1092651.2280000001
11553,2016,155418.71377032,155418.71377032,809371.28
11568,2016,159119.15933628,159119.15933628,526091.332
11594,2016,106079.43955752,106079.43955752,485622.76800000004
11604,2016,33304.01009364,33304.01009364,538231.9012
11608,2016,300045.9347800864,300045.9347800864,1902022.5080000001
11613,2016,NA,NA,NA
11614,2016,NA,NA,NA
11615,2016,NA,NA,NA
11616,2016,416364.7829824476,416364.7829824476,1432587.1656
11651,2016,224493.69766824,224493.69766824,971245.5360000001
11784,2016,347841.88320024003,347841.88320024003,781043.2852
11793,2016,472.155039616462,0,0
11836,2016,107312.92141284,107312.92141284,485622.76800000004
11867,2016,NA,NA,NA
11948,2016,0,0,0
11968,2016,148412.18736242157,148412.18736242157,485622.76800000004
11969,2016,149251.30449372,149251.30449372,627262.742
11971,2016,101145.51213624,101145.51213624,485622.76800000004
11972,2016,312070.90939596,312070.90939596,955058.1104
11974,2016,134449.52222988,134449.52222988,497763.3372
11982,2016,257439.38399137545,257439.38399137545,971245.5360000001
12025,2016,NA,NA,NA
12058,2016,NA,NA,NA
12070,2016,205991.46983844,205991.46983844,485622.76800000004
12089,2016,86343.7298724,86343.7298724,485622.76800000004
12090,2016,99341.8291603197,99341.8291603197,485622.76800000004
12097,2016,583436.91756636,583436.91756636,1375931.176
12098,2016,53039.71977876,53039.71977876,283279.94800000003
12110,2016,0,0,0
12113,2016,42389.47606132521,42389.47606132521,416826.20920000004
12119,2016,6167.4092766,6167.4092766,258998.8096
12174,2016,141850.4133618,141850.4133618,485622.76800000004
12251,2016,173920.94160012002,173920.94160012002,465388.48600000003
12267,2016,129515.5948086,129515.5948086,505857.05
12274,2016,190449.24111806095,190449.24111806095,708199.87
12312,2016,133216.04037456,133216.04037456,445154.204
12313,2016,444053.4679152,444053.4679152,971245.5360000001
12349,2016,199824.06056184001,199824.06056184001,898402.1208
12357,2016,155418.71377032,155418.71377032,465388.48600000003
12358,2016,118414.25811072,118414.25811072,465388.48600000003
12397,2016,203524.5061278,203524.5061278,477529.0552
12402,2016,83589.57415866829,83589.57415866829,971245.5360000001
12441,2016,362643.66546408,362643.66546408,922683.2592
12472,2016,172687.4597448,172687.4597448,971245.5360000001
12499,2016,198590.57870652,198590.57870652,485622.76800000004
12506,2016,29603.56452768,29603.56452768,222577.102
12558,2016,NA,NA,NA
12634,2016,20969.19154044,20969.19154044,489669.62440000003
12637,2016,205991.46983844,205991.46983844,485622.76800000004
12638,2016,143083.89521712,143083.89521712,485622.76800000004
12645,2016,168987.01417884,168987.01417884,489669.62440000003
12646,2016,158431.0500526553,158431.0500526553,493716.4808
12662,2016,230486.83771082372,230486.83771082372,732481.0084
12700,2016,156652.19562564002,156652.19562564002,275186.2352
12725,2016,125815.14924264001,125815.14924264001,485622.76800000004
12739,2016,NA,NA,NA
12740,2016,297900.9434822546,297900.9434822546,793183.8544000001
12762,2016,114713.81254476,114713.81254476,481575.9116
12819,2016,162819.60490224,162819.60490224,485622.76800000004
12833,2016,25903.11896172,25903.11896172,222577.102
12834,2016,115791.66455847214,115791.66455847214,971245.5360000001
12840,2016,156652.19562564002,156652.19562564002,987432.9616
12897,2016,139156.84324422813,139156.84324422813,485622.76800000004
12910,2016,161586.12304692,161586.12304692,809371.28
12933,2016,119647.73996604,119647.73996604,485622.76800000004
12952,2016,202291.02427248,202291.02427248,849839.844
12957,2016,506961.04253652,506961.04253652,1505430.5808
12972,2016,177621.38716608,177621.38716608,485622.76800000004
13012,2016,NA,NA,NA
13014,2016,177621.38716608,177621.38716608,598934.7472
13071,2016,197357.0968512,197357.0968512,485622.76800000004
13080,2016,122114.70367668,122114.70367668,914589.5464
13095,2016,189956.20571928,189956.20571928,971245.5360000001
13102,2016,272782.8139767632,272782.8139767632,971245.5360000001
13106,2016,251679.1076497222,251679.1076497222,971245.5360000001
13112,2016,97242.8155351508,0,0
13142,2016,152951.75005968,152951.75005968,445154.204
13188,2016,373327.18678075465,373327.18678075465,1173588.3560000001
13210,2016,254097.26219592002,254097.26219592002,1456868.304
13235,2016,152951.75005968,152951.75005968,485622.76800000004
13258,2016,156652.19562564002,156652.19562564002,485622.76800000004
13264,2016,217092.80653632001,217092.80653632001,497763.3372
13274,2016,124581.66738732,124581.66738732,550372.4704
13294,2016,90044.17543836,90044.17543836,497763.3372
13299,2016,NA,NA,NA
13302,2016,166520.0504682,166520.0504682,971245.5360000001
13341,2016,189956.20571928,189956.20571928,493716.4808
13356,2016,481057.9235748,481057.9235748,991479.8180000001
13359,2016,515595.41552376,515595.41552376,1740148.252
13371,2016,122114.70367668,122114.70367668,485622.76800000004
13382,2016,164053.08675756,164053.08675756,485622.76800000004
13395,2016,180088.35087672,180088.35087672,485622.76800000004
13408,2016,202291.02427248,202291.02427248,485622.76800000004
13425,2016,189956.20571928,189956.20571928,489669.62440000003
13432,2016,524229.788511,524229.788511,2266239.5840000003
13438,2016,17268.74597448,17268.74597448,404685.64
13481,2016,187489.24200864,187489.24200864,485622.76800000004
13487,2016,NA,NA,NA
13489,2016,268899.04445976,268899.04445976,809371.28
13511,2016,122114.70367668,122114.70367668,445154.204
13600,2016,0,0,0
13620,2016,127048.63109796001,127048.63109796001,493716.4808
13634,2016,160352.6411916,160352.6411916,485622.76800000004
13640,2016,183788.79644268,183788.79644268,849839.844
13661,2016,70308.46575324,70308.46575324,323748.512
13662,2016,205991.46983844,205991.46983844,971245.5360000001
13665,2016,13568.300408520001,13568.300408520001,497763.3372
13679,2016,267665.56260444,267665.56260444,971245.5360000001
13703,2016,159119.15933628,159119.15933628,493716.4808
13729,2016,166520.0504682,166520.0504682,987432.9616
13745,2016,193656.65128524,193656.65128524,995526.6744
13751,2016,460088.73203436,460088.73203436,971245.5360000001
13774,2016,11101.33669788,11101.33669788,202342.82
13841,2016,43171.8649362,43171.8649362,149733.6868
13846,2016,133216.04037456,133216.04037456,489669.62440000003
13868,2016,111013.3669788,111013.3669788,477529.0552
13871,2016,440353.02234924,440353.02234924,987432.9616
13923,2016,186255.76015332,186255.76015332,971245.5360000001
13962,2016,402115.08483432,402115.08483432,1214056.92
13964,2016,102809.75928369659,102809.75928369659,700106.1572
13997,2016,260264.67147252001,260264.67147252001,1149307.2176
13998,2016,256564.22590656,256564.22590656,870074.126
14043,2016,99912.03028092001,99912.03028092001,485622.76800000004
14089,2016,278766.89930232003,278766.89930232003,1052182.664
14090,2016,161586.12304692,161586.12304692,497763.3372
14198,2016,159119.15933628,159119.15933628,485622.76800000004
14255,2016,107630.75636506728,107630.75636506728,234717.6712
14364,2016,119684.65913625866,119684.65913625866,955058.1104
14464,2016,469956.58687692,469956.58687692,2347176.7120000003
14644,2016,261498.15332784,261498.15332784,485622.76800000004
14681,2016,228194.1432342,228194.1432342,951011.2540000001
14689,2016,186255.76015332,186255.76015332,485622.76800000004
14705,2016,103587.93120423691,103587.93120423691,323748.512
14837,2016,29603.56452768,29603.56452768,242811.38400000002
14885,2016,341674.47392364003,341674.47392364003,971245.5360000001
14887,2016,302203.0545534,302203.0545534,971245.5360000001
14888,2016,137574.16047293364,137574.16047293364,485622.76800000004
14901,2016,210925.39725972,210925.39725972,485622.76800000004
14902,2016,81409.80245112,81409.80245112,485622.76800000004
14915,2016,230661.10694484,230661.10694484,979339.2488000001
14969,2016,462555.69574500003,462555.69574500003,1375931.176
15095,2016,48105.79235748,48105.79235748,218530.2456
15112,2016,156652.19562564002,156652.19562564002,493716.4808
15190,2016,127048.63109796001,127048.63109796001,497763.3372
15194,2016,168987.01417884,168987.01417884,821511.8492
15195,2016,225727.17952356001,225727.17952356001,728434.152
15204,2016,292335.19971084,292335.19971084,1481149.4424
15284,2016,288634.75414488,288634.75414488,987432.9616
15295,2016,0,0,0
15326,2016,208458.43354908001,208458.43354908001,930776.9720000001
15366,2016,NA,NA,NA
15412,2016,72775.42946388,72775.42946388,497763.3372
15418,2016,228418.86450355707,228418.86450355707,485622.76800000004
15469,2016,97445.06657028,97445.06657028,497763.3372
15475,2016,177621.38716608,177621.38716608,485622.76800000004
15476,2016,321938.76423852,321938.76423852,971245.5360000001
15511,2016,148017.82263840002,148017.82263840002,526091.332
15526,2016,NA,NA,NA
15565,2016,229427.62508952,229427.62508952,1392118.6016
15752,2016,340440.99206832,340440.99206832,971245.5360000001
15856,2016,151922.40437706478,151922.40437706478,505857.05
15866,2016,143083.89521712,143083.89521712,202342.82
15867,2016,193656.65128524,193656.65128524,607028.46
15977,2016,204757.98798312,204757.98798312,485622.76800000004
16042,2016,257797.70776188,257797.70776188,987432.9616
16058,2016,148017.82263840002,148017.82263840002,283279.94800000003
16089,2016,65374.53833196,65374.53833196,412779.3528
16144,2016,214625.84282568,214625.84282568,485622.76800000004
16196,2016,218326.28839164,218326.28839164,728434.152
16207,2016,70308.46575324,70308.46575324,485622.76800000004
16288,2016,162819.60490224,162819.60490224,493716.4808
16314,2016,143083.89521712,143083.89521712,505857.05
16358,2016,193656.65128524,193656.65128524,963151.8232
16395,2016,262731.63518316,262731.63518316,1942491.0720000002
16396,2016,191091.62635194886,191091.62635194886,485622.76800000004
16409,2016,139383.44965116002,139383.44965116002,485622.76800000004
16420,2016,82643.28430644001,82643.28430644001,477529.0552
16464,2016,35772.18892307829,35772.18892307829,809371.28
16488,2016,260264.67147252001,260264.67147252001,971245.5360000001
16671,2016,410749.45782156003,410749.45782156003,971245.5360000001
16698,2016,281233.86301296,281233.86301296,1578273.996
16764,2016,168987.01417884,168987.01417884,485622.76800000004
16847,2016,16720.564623505703,16720.564623505703,242811.38400000002
17060,2016,488458.81470672,488458.81470672,979339.2488000001
17067,2016,NA,NA,NA
17106,2016,50572.75606812,50572.75606812,307561.08640000003
17150,2016,94978.10285964,94978.10285964,485622.76800000004
17251,2016,108546.40326816001,108546.40326816001,485622.76800000004
17264,2016,563187.2571081895,563187.2571081895,1942491.0720000002
17386,2016,251630.29848528001,251630.29848528001,489669.62440000003
17404,2016,134449.52222988,134449.52222988,485622.76800000004
17435,2016,183788.79644268,183788.79644268,1011714.1
17456,2016,175154.42345544,175154.42345544,493716.4808
17467,2016,NA,NA,NA
17491,2016,0,0,0
17497,2016,167753.53232352,167753.53232352,445154.204
17566,2016,NA,NA,NA
17665,2016,64141.05647664,64141.05647664,424919.922
17683,2016,94978.10285964,94978.10285964,534185.0448
17695,2016,NA,NA,NA
17758,2016,NA,NA,NA
17933,2016,96211.58471496,96211.58471496,485622.76800000004
17935,2016,115947.29440008,115947.29440008,748668.434
17953,2016,193656.65128524,193656.65128524,505857.05
