PDIV_ID,UID
1779,354926
27831,377944
20584,353957
16466,1371710
8142,1370603
21255,350329
16412,354446
31930,1370409
18890,350911
13742,348292
40527,353355
37865,350900
7640,348496
2360,352511
45187,348142
34746,348112
5333,348741
37325,1371751
9350,1370635
42956,1228338
26036,352033
16466,1371710
8142,1370603
