WR_GROUP,Year,LEMA_fieldArea_m2,notLEMA_fieldArea_m2,LEMA_irrFieldArea_m2,notLEMA_irrFieldArea_m2,LEMA_fieldArea_fraction,LEMA_irrFieldArea_fraction,WRGirrigationTotal_m3,WRGirrigationLEMA_m3,WRGirrAreaReported_m2
4335,2016,0,1258991.661883798,0,797586.5396027633,0,0,323172.24609384,0,890308.408
4483,2016,0,2328409.431200642,0,1173540.639311689,0,0,280000.38115764,0,1185728.9252
4573,2016,0,1279967.5769490437,0,833050.1243886027,0,0,245462.88920868002,0,910542.6900000001
4583,2016,0,627901.5970688054,0,26566.26406040668,0,0,0,0,0
4593,2016,0,322379.90683414426,0,98252.26070599761,0,0,0,0,0
4605,2016,661563.527755262,0,524863.2476143204,0,1,1,130749.07666392,130749.07666392,493716.4808
4639,2016,0,1291539.8582794876,0,391920.0938958699,0,0,139383.44965116002,0,485622.76800000004
4687,2016,956591.8205440154,0,429496.1688417689,0,1,1,112246.84883412,112246.84883412,473482.1988
4711,2016,0,786117.7220234736,0,432448.2709358623,0,0,178854.8690214,0,505857.05
4721,2016,0,1265732.4892206918,0,253097.97577250705,0,0,141850.4133618,0,870074.126
4737,2016,0,3051001.774681852,0,1789271.8216387993,0,0,518062.3792344,0,1707773.4008
4772,2016,0,632478.2493007672,0,452857.84608578705,0,0,127048.63109796001,0,477529.0552
4963,2016,0,2363504.5144354124,0,1174786.8350305883,0,0,366344.11103004,0,1618742.56
4966,2016,1038582.1853052767,0,783232.8532029232,0,1,1,128282.11295328,128282.11295328,485622.76800000004
5012,2016,0,1824764.3784876966,0,1141275.341718491,0,0,358943.21989812003,0,574653.6088
5061,2016,922363.4230084267,0,538701.9832703673,0,1,1,0,0,0
5080,2016,0,628555.556776477,0,536780.5328000261,0,0,115947.29440008,0,485622.76800000004
5085,2016,NA,NA,NA,NA,NA,NA,125815.14924264001,NA,485622.76800000004
5147,2016,0,808272.4259143928,0,0,0,NA,0,NA,0
5151,2016,0,646300.6735130195,0,469639.17644196,0,0,151718.26820436,0,477529.0552
5236,2016,1575614.0122869804,0,937091.8497898997,0,1,1,208458.43354908001,208458.43354908001,942917.5412
5365,2016,0,2546848.0610765372,0,1330237.0571245821,0,0,426784.72194072,0,1214056.92
5367,2016,1764805.6931880298,0,579016.5099826176,0,1,1,220171.19834211643,220171.19834211643,708199.87
5377,2016,0,495981.49741074455,0,478126.16350395774,0,0,325639.20980448,0,971245.5360000001
5381,2016,0,626170.6661175976,0,290279.47258133243,0,0,108546.40326816001,0,299467.3736
5411,2016,0,1283426.334198544,0,279677.75157069805,0,0,149251.30449372,0,485622.76800000004
5485,2016,0,1290721.301646936,0,627527.4567675312,0,0,80176.3205958,0,607028.46
5494,2016,0,3314689.565832801,0,2430930.1003736462,0,0,909720.8027819028,0,2525238.3936
5536,2016,0,1878370.5585705019,0,407215.9373546087,0,0,94978.10285964,0,829605.562
5572,2016,0,1921887.9926169408,0,1371721.2139309915,0,0,370044.556596,0,2428113.84
5576,2016,0,1402607.8102250614,0,722458.9014395127,0,0,151718.26820436,0,485622.76800000004
5578,2016,0,1596531.8721809257,0,945559.5986299656,0,0,341674.47392364003,0,975292.3924
5609,2016,0,637269.1239786365,0,472015.797949394,0,0,198590.57870652,0,489669.62440000003
5610,2016,0,2210332.278739164,0,1336790.3056294876,0,0,429251.68565136,0,1226197.4892
5673,2016,0,624570.2521759532,0,459319.0562619177,0,0,60440.61091068,0,485622.76800000004
5674,2016,0,1206923.7061620269,0,779680.0313983097,0,0,191189.68757460002,0,651543.8804
5682,2016,0,2535116.46479711,0,1810325.5618318957,0,0,524356.2857847821,0,1922256.79
5685,2016,1267746.3105257659,0,929703.4592374454,0,1,1,259031.1896172,259031.1896172,971245.5360000001
5720,2016,1323922.642293576,0,634051.7908129956,0,1,1,133216.04037456,133216.04037456,323748.512
5755,2016,643180.394326421,0,492999.689657434,0,1,1,138149.96779584,138149.96779584,485622.76800000004
5758,2016,0,526193.9349386992,0,299770.7720395692,0,0,85110.24801708,0,364217.076
5771,2016,0,1000548.2950991683,0,635113.1793409258,0,0,205991.46983844,0,809371.28
5780,2016,0,690384.275112158,0,418203.2263296556,0,0,122114.70367668,0,477529.0552
5788,2016,NA,NA,NA,NA,NA,NA,0,NA,0
5819,2016,NA,NA,NA,NA,NA,NA,208458.43354908001,NA,485622.76800000004
5829,2016,0,634224.0445971733,0,491308.78673713544,0,0,150484.78634904,0,501810.1936
5852,2016,0,1154006.6837123819,0,844848.44678804,0,0,328106.17351512,0,870074.126
5868,2016,0,622463.5836752336,0,570869.0879827851,0,0,241762.44364272,0,505857.05
5928,2016,0,627762.1211086912,0,540733.8919000049,0,0,197357.0968512,0,485622.76800000004
5956,2016,627086.1969751102,0,491022.21831808443,0,1,1,135683.0040852,135683.0040852,485622.76800000004
5957,2016,0,638986.99826971,0,479020.65780681255,0,0,186255.76015332,0,485622.76800000004
5958,2016,1279250.11604262,0,944263.8495896526,0,1,1,202291.02427248,202291.02427248,971245.5360000001
6004,2016,0,1249751.4822087807,0,166656.78981521973,0,0,62907.574621320004,0,182108.538
6028,2016,621576.7127966683,0,461924.93832044216,0,1,1,87971.19412464323,87971.19412464323,469435.3424
6034,2016,0,1219601.5779901694,0,594038.6805015503,0,0,187489.24200864,0,619169.0292
6037,2016,0,644171.3488034764,0,410342.9660396801,0,0,45788.4018215403,0,485622.76800000004
6057,2016,0,974596.4189095247,0,407490.1479959682,0,0,138149.96779584,0,416826.20920000004
6109,2016,0,641824.7660404046,0,475237.12597707636,0,0,138149.96779584,0,493716.4808
6119,2016,0,2081553.0291873894,0,0,0,NA,56740.16534472,NA,242811.38400000002
6135,2016,0,1255263.5616626898,0,945807.6468668572,0,0,371278.03845132,0,930776.9720000001
6144,2016,0,591206.7529625755,0,303662.367178044,0,0,176387.90531076,0,343982.794
6145,2016,0,660617.9779067778,0,443095.28044954047,0,0,105197.11189325283,0,631309.5984
6156,2016,0,594058.8786683378,0,427134.2168957246,0,0,175154.42345544,0,445154.204
6160,2016,0,1242411.5487881543,0,0,0,NA,70308.46575324,NA,360170.2196
6162,2016,1260733.1429566168,0,980147.1020682984,0,1,1,268899.04445976,268899.04445976,930776.9720000001
6163,2016,628466.6053542178,0,526995.916193056,0,1,1,109779.88512348,109779.88512348,485622.76800000004
6167,2016,640362.5185151937,0,471913.28473941697,0,1,1,228194.1432342,228194.1432342,505857.05
6204,2016,0,1268895.9141367455,0,278451.28630427417,0,0,129515.5948086,0,473482.1988
6277,2016,0,1248314.7459263776,0,519685.0199194723,0,0,72775.42946388,0,485622.76800000004
6325,2016,0,1196731.9322496299,0,326065.7002142184,0,0,193547.604782985,0,364217.076
6339,2016,0,940898.8385482215,0,443335.52948368585,0,0,120881.22182136,0,485622.76800000004
6365,2016,0,576940.8351152885,0,303345.55590542953,0,0,109779.88512348,0,323748.512
6397,2016,0,650555.71295768,0,0,0,NA,0,NA,0
6434,2016,0,603382.4719628125,0,442343.74472967244,0,0,203524.5061278,0,477529.0552
6460,2016,0,259664.3459550445,0,174763.45315519918,0,0,519295.86108972,0,1104791.7972000001
6562,2016,0,886580.6984462524,0,0,0,NA,0,NA,0
6589,2016,0,1153814.6761871648,0,267394.9937013669,0,0,69074.98389792,0,283279.94800000003
6650,2016,0,1277022.3680691333,0,634519.8643270815,0,0,254097.26219592002,0,821511.8492
6681,2016,0,596366.4020148715,0,421377.6153678271,0,0,123348.185532,0,453247.9168
6686,2016,0,1267521.3860334684,0,768787.0968626552,0,0,242995.92549804001,0,898402.1208
6696,2016,0,2198577.1312707327,0,379866.0641227558,0,0,167753.53232352,0,437060.4912
6885,2016,0,1251072.0776766455,0,530790.6181023228,0,0,98678.5484256,0,623215.8856
7029,2016,0,1203669.1322741634,0,422672.85855781357,0,0,83876.76616176,0,485622.76800000004
7048,2016,0,1223297.3759336362,0,994887.2109068044,0,0,267665.56260444,0,995526.6744
7077,2016,0,1918036.7707022813,0,1412259.1834765398,0,0,234570.92391496227,0,1011714.1
7081,2016,0,1307987.3180635406,0,1005639.2235744988,0,0,476123.99615352,0,971245.5360000001
7121,2016,0,949415.7671824524,0,728207.7422569254,0,0,257797.70776188,0,720340.4392
7477,2016,0,634527.9009096214,0,472431.0341941174,0,0,112246.84883412,0,485622.76800000004
7568,2016,0,2534124.388141245,0,1855118.2212281078,0,0,441461.64601626,0,1942491.0720000002
7597,2016,638097.7901269896,0,529133.1124245024,0,1,1,160352.6411916,160352.6411916,485622.76800000004
7598,2016,637113.4272313443,0,504514.4898294134,0,1,1,122114.70367668,122114.70367668,485622.76800000004
7621,2016,0,1183255.204146495,0,227711.40063398986,0,0,102378.99399156,0,230670.8148
7755,2016,640171.08286238,0,336670.0836924675,0,1,1,92511.139149,92511.139149,404685.64
7756,2016,0,2559014.0571508924,0,1490409.4230361292,0,0,261472.0755913858,0,1651117.4112
7760,2016,0,1907739.6588910536,0,415615.8310706543,0,0,112246.84883412,0,214483.3892
7771,2016,0,1269362.02131153,0,354053.66786422965,0,0,54273.201634080004,0,372310.78880000004
7799,2016,0,2392582.840114164,0,696641.9064350136,0,0,151297.81060221727,0,582747.3216
7818,2016,0,3691921.1659505195,0,459081.961796426,0,0,133216.04037456,0,473482.1988
7851,2016,0,1908631.6985060864,0,1384228.3835745642,0,0,203524.5061278,0,1456868.304
7903,2016,614922.0194748843,0,433622.18119635177,0,1,1,135832.11165363196,135832.11165363196,477529.0552
7904,2016,632569.5149929664,0,430874.3453315202,0,1,1,107944.18887753616,107944.18887753616,445154.204
7928,2016,1451875.2532889594,0,747426.529116868,0,1,1,138149.96779584,138149.96779584,485622.76800000004
8011,2016,1276438.9914389658,0,797933.7245088567,0,1,1,266432.08074912,266432.08074912,841746.1312000001
8041,2016,0,1300034.7959194095,0,952938.173179406,0,0,284934.30857892,0,971245.5360000001
8133,2016,0,1294754.9326995506,0,982999.180582212,0,0,256564.22590656,0,975292.3924
8213,2016,1268218.0533791403,0,1155200.8264935012,0,1,1,239027.8585339332,239027.8585339332,930776.9720000001
8274,2016,0,2160322.003191656,0,972200.3327082447,0,0,508194.52439184004,0,1226197.4892
8275,2016,0,2533446.4983107927,0,2382794.610099554,0,0,375844.6100975696,0,1982959.6360000002
8284,2016,0,897991.5475810018,0,180608.68210716743,0,0,0,0,0
8348,2016,0,2546182.9385008924,0,2323087.074531991,0,0,388546.7844258,0,1384024.8888
8349,2016,0,2394955.793986926,0,1983494.9763121323,0,0,597961.3688379172,0,1659211.124
8370,2016,0,1269269.0078899774,0,339243.3078881431,0,0,34537.49194896,0,372310.78880000004
8375,2016,0,638046.8160824819,0,496325.3030303703,0,0,234361.55251080001,0,485622.76800000004
8381,2016,0,1942919.0955980907,0,1499226.5726846973,0,0,499560.1514046,0,1011714.1
8382,2016,0,1270314.3815364505,0,553016.3376377497,0,0,181321.83273204,0,971245.5360000001
8403,2016,0,1265858.5162608046,0,588817.8989402364,0,0,171453.97788948,0,748668.434
8410,2016,0,1235666.7203376726,0,456998.4944285087,0,0,161586.12304692,0,453247.9168
8429,2016,0,2245434.3325134553,0,904900.0362057795,0,0,297269.12713212,0,971245.5360000001
8434,2016,641141.3248411416,0,504903.9837404966,0,1,1,108546.40326816001,108546.40326816001,404685.64
8450,2016,0,640197.5618041388,0,383807.9245809878,0,0,106079.43955752,0,445154.204
8454,2016,622279.0097328005,0,470105.832252666,0,1,1,45638.828646840004,45638.828646840004,489669.62440000003
8463,2016,0,1279136.576669848,0,422097.8023618775,0,0,123348.185532,0,526091.332
8469,2016,0,582470.1147351539,0,143366.7030532398,0,0,67729.81331940684,0,157827.3996
8471,2016,0,1300810.4439558226,0,1012882.6447976261,0,0,556300.31674932,0,987432.9616
8472,2016,0,641554.9945462336,0,477041.8094753694,0,0,131982.55851924,0,497763.3372
8513,2016,604998.1980923472,0,350672.5551097948,0,1,1,74008.91131920001,74008.91131920001,364217.076
8515,2016,0,592385.9833570481,0,110073.50557832519,0,0,19735.70968512,0,117358.8356
8528,2016,2042514.4543133716,0,851292.3899654205,0,1,1,106079.43955752,106079.43955752,465388.48600000003
8590,2016,0,1271894.8683281,0,683222.2406808062,0,0,365110.62917472003,0,716293.5828
8591,2016,NA,NA,NA,NA,NA,NA,0,NA,0
8656,2016,0,1127895.150682222,0,0,0,NA,97445.06657028,NA,485622.76800000004
8706,2016,0,3922267.3941895403,0,2813642.789989411,0,0,851102.4801708,0,2913736.608
8714,2016,0,1273584.71209099,0,923542.846028048,0,0,241420.63564578924,0,971245.5360000001
8723,2016,0,631115.0777360915,0,497140.13371073187,0,0,150484.78634904,0,485622.76800000004
8765,2016,0,1222083.816960122,0,452236.0335883997,0,0,140616.93150648,0,995526.6744
8778,2016,0,640775.184749211,0,470677.7489850863,0,0,108546.40326816001,0,485622.76800000004
8784,2016,0,1635656.3247536267,0,219026.66257216537,0,0,20969.19154044,0,93077.69720000001
8804,2016,0,1924584.9051164559,0,1202659.2422573538,0,0,298502.60898744,0,1294994.048
8807,2016,0,1279643.0648052115,0,322598.4850820611,0,0,183788.79644268,0,364217.076
8830,2016,0,654618.3569187706,0,502384.8327785545,0,0,238061.99807676,0,505857.05
8858,2016,0,1263744.6619032766,0,176881.43215501038,0,0,72775.42946388,0,445154.204
8900,2016,0,2580181.746520661,0,1871731.6981829747,0,0,391013.74813644,0,1978912.7796
8918,2016,0,2986668.684588231,0,164427.902953804,0,0,49339.2742128,0,194249.1072
8919,2016,0,2240367.9560225047,0,848370.0240465816,0,0,500793.63325992,0,971245.5360000001
8923,2016,0,1081814.4962533156,0,553234.5029680892,0,0,236949.0968887368,0,477529.0552
8940,2016,0,914296.9560718925,0,423269.2686919065,0,0,177621.38716608,0,445154.204
8947,2016,0,816420.3033154516,0,0,0,NA,144317.37707244,NA,364217.076
8948,2016,0,651538.6306907928,0,464328.1775760769,0,0,210925.39725972,0,485622.76800000004
8949,2016,0,1325750.2008411654,0,427844.3578044243,0,0,135683.0040852,0,485622.76800000004
8952,2016,0,631917.5442551333,0,475289.44862021983,0,0,156652.19562564002,0,485622.76800000004
8998,2016,0,3470524.067828258,0,2645581.1402208717,0,0,1103966.2605114,0,2670925.224
9046,2016,0,2553206.101972874,0,2113346.616900246,0,0,543965.49819612,0,1776569.9596
9053,2016,3165956.4822952794,0,2115398.283414022,0,1,1,424317.75823008,424317.75823008,1910116.2208
9067,2016,0,1206492.137386167,0,490275.4084645334,0,0,239688.42891021224,0,607028.46
9080,2016,0,651922.6090460833,0,470986.2876881772,0,0,176387.90531076,0,485622.76800000004
9117,2016,0,633139.3348060008,0,465764.54871628335,0,0,167753.53232352,0,485622.76800000004
9118,2016,0,1294397.9469376146,0,970209.2289331018,0,0,119647.73996604,0,485622.76800000004
9131,2016,0,1246606.0986604409,0,470393.6634574671,0,0,170216.94531318554,0,505857.05
9166,2016,1930781.75473326,623289.4797315752,1463294.8308035107,524741.8677236618,0.7559623743766976,0.736050210686546,415683.38524284,305963.843286889,1885835.0824
9176,2016,629227.7682571304,0,471082.6632141223,0,1,1,171453.97788948,171453.97788948,485622.76800000004
9185,2016,0,1163472.5144168637,0,768850.9071735642,0,0,77709.35688516,0,517997.6192
9193,2016,657050.67973824,0,479041.3619211622,0,1,1,106430.40069231515,106430.40069231515,497763.3372
9279,2016,0,1965098.8555427203,0,1134628.8052648397,0,0,209698.8427171759,0,995526.6744
9281,2016,637562.1641851084,0,473650.8350280765,0,1,1,106079.43955752,106079.43955752,497763.3372
9303,2016,0,1644824.7100673919,0,1340815.2741021868,0,0,272599.49002572,0,963151.8232
9325,2016,0,1901555.0463133154,0,459582.47030022606,0,0,145491.73828790768,0,898402.1208
9337,2016,1806514.467354019,0,1572054.6995760167,0,1,1,177621.38716608,177621.38716608,1339509.4684000001
9340,2016,NA,NA,NA,NA,NA,NA,0,NA,0
9356,2016,618357.2261259359,0,506433.9647435654,0,1,1,119647.73996604,119647.73996604,485622.76800000004
9369,2016,NA,NA,NA,NA,NA,NA,88330.05163891926,NA,457294.7732
9377,2016,0,1256378.3209205389,0,927078.8519452901,0,0,381881.93352524494,0,946964.3976
9407,2016,0,1263120.1813964702,0,1013653.2717992582,0,0,180088.35087672,0,987432.9616
9412,2016,2574098.15576574,0,2090153.853376713,0,1,1,362978.8527669966,362978.8527669966,1861553.9440000001
9416,2016,321552.5578076276,0,296471.45829863264,0,1,1,69074.98389792,69074.98389792,242811.38400000002
9426,2016,0,1161388.9042721675,0,993911.4847710293,0,0,162819.60490224,0,849839.844
9427,2016,0,2479724.408956826,0,1475519.2012323076,0,0,441586.50420456,0,1497336.868
9431,2016,0,31126.027960016854,0,0,0,NA,60440.61091068,NA,242811.38400000002
9474,2016,0,1230732.7302172985,0,64354.37588790698,0,0,0,0,0
9494,2016,0,860946.0558707449,0,143832.6435136409,0,0,0,0,0
9500,2016,2470963.0390474615,0,1608004.198262139,0,1,1,0,0,0
9505,2016,0,1264174.0532523522,0,743275.6344947708,0,0,185022.278298,0,849839.844
9525,2016,1279545.9591632597,0,966651.1773897742,0,1,1,205991.46983844,205991.46983844,991479.8180000001
9526,2016,1261864.8177853783,0,942548.7879878833,0,1,1,240528.9617874,240528.9617874,971245.5360000001
9533,2016,633406.4846209605,0,433377.55175579834,0,1,1,129515.5948086,129515.5948086,509903.90640000004
9538,2016,0,1211967.6379138888,0,1055530.3861176348,0,0,379912.41143856,0,922683.2592
9577,2016,0,1307735.634695422,0,670244.829287593,0,0,228194.1432342,0,647497.024
9589,2016,0,1599336.9506372318,0,1014738.2660509808,0,0,245462.88920868002,0,971245.5360000001
9620,2016,0,614049.2293479355,0,480656.89580931724,0,0,83876.76616176,0,485622.76800000004
9635,2016,0,625389.42323519,0,444274.165567367,0,0,148017.82263840002,0,505857.05
9706,2016,627586.6958076092,0,460076.74840075313,0,1,1,194890.13314056,194890.13314056,489669.62440000003
9734,2016,0,589441.8818160633,0,216132.66796294288,0,0,38237.93751492,0,178061.6816
9795,2016,643872.4399203788,0,518982.98808487,0,1,1,164053.08675756,164053.08675756,501810.1936
9796,2016,620730.4718339989,0,472238.0674252741,0,1,1,159119.15933628,159119.15933628,485622.76800000004
9815,2016,0,325835.3124270843,0,133889.72876388574,0,0,0,0,0
9825,2016,0,1592818.3135150059,0,700348.8518553311,0,0,177621.38716608,0,683918.7316
9915,2016,0,1653184.4735843907,0,624549.5849490224,0,0,135683.0040852,0,250905.0968
9917,2016,0,1420280.8323608227,0,408536.6017903316,0,0,113225.60242097318,0,445154.204
9979,2016,2536599.612953652,634277.6769436381,1918143.6152877428,547307.1403654999,0.7999677631914343,0.778009299471696,139383.44965116002,108441.6200210474,607028.46
9997,2016,0,554570.4057487452,0,431110.95122878207,0,0,99912.03028092001,0,465388.48600000003
10008,2016,648174.1639297327,0,488944.638720669,0,1,1,69113.38316611423,69113.38316611423,501810.1936
10041,2016,636631.9131439109,0,467123.50571529154,0,1,1,88810.69358304,88810.69358304,485622.76800000004
10042,2016,0,641246.1457688336,0,577852.0505168795,0,0,202291.02427248,0,526091.332
10047,2016,0,1988147.6133538228,0,932498.50880463,0,0,49339.2742128,0,526091.332
10053,2016,593431.5329643659,0,422643.2938141508,0,1,1,118414.25811072,118414.25811072,445154.204
10055,2016,0,1280486.6453025322,0,678100.1251062908,0,0,101145.51213624,0,821511.8492
10075,2016,626242.9861752392,0,508576.3889435877,0,1,1,87594.92369300795,87594.92369300795,485622.76800000004
10079,2016,0,1248948.1420121004,0,1025149.8059772532,0,0,352614.98340262263,0,971245.5360000001
10084,2016,1280565.4116265597,0,1118504.9745189785,0,1,1,277533.417447,277533.417447,971245.5360000001
10086,2016,0,1801327.7121117953,0,1347264.5240968475,0,0,489692.29656204,0,1448774.5912000001
10093,2016,0,1250611.341424947,0,472863.20804021787,0,0,97445.06657028,0,485622.76800000004
10107,2016,630183.9258951385,0,452649.3501551527,0,1,1,149251.30449372,149251.30449372,485622.76800000004
10112,2016,0,633325.4470537775,0,476605.24758292333,0,0,124581.66738732,0,497763.3372
10146,2016,0,1287228.9648210981,0,755095.1354570555,0,0,166520.0504682,0,971245.5360000001
10173,2016,0,636674.6433639929,0,406106.6943295132,0,0,74008.91131920001,0,453247.9168
10174,2016,0,2329441.9840407628,0,915279.9214463575,0,0,293568.68156616,0,910542.6900000001
10223,2016,0,636415.2462659107,0,487157.5560017514,0,0,193656.65128524,0,485622.76800000004
10232,2016,0,631886.3520565243,0,311063.55719998083,0,0,92511.139149,0,485622.76800000004
10268,2016,0,631393.4830391033,0,406535.05012111564,0,0,23436.15525108,0,477529.0552
10280,2016,0,1270728.816266568,0,909378.0414773047,0,0,172687.4597448,0,971245.5360000001
10285,2016,0,1274366.8584956315,0,1073072.488088006,0,0,223449.36930586197,0,971245.5360000001
10302,2016,0,491014.3200368575,0,212246.5405416365,0,0,35297.11911251255,0,210436.53280000002
10343,2016,0,769581.4810416948,0,452508.6674949548,0,0,110955.48795566417,0,465388.48600000003
10353,2016,0,510450.25234995957,0,126469.36989123722,0,0,66608.02018728,0,161874.256
10383,2016,618784.4492375004,0,475547.4376364082,0,1,1,173920.94160012002,173920.94160012002,497763.3372
