UID,gridmet_id
1483256,561362
1483257,561362
801988,561363
802020,561363
802034,561363
802035,561363
802428,561363
803430,561363
803431,561363
804179,561363
804777,561363
1084392,561363
1084648,561363
1085368,561363
1085369,561363
1257576,561363
1483258,561363
1483260,561363
1483264,561363
1559192,561363
802011,561364
802029,561364
802031,561364
802032,561364
802033,561364
802041,561364
802042,561364
802051,561364
802052,561364
802053,561364
802055,561364
802064,561364
802065,561364
802066,561364
802069,561364
802070,561364
802071,561364
802073,561364
802437,561364
802910,561364
802911,561364
802912,561364
802927,561364
802928,561364
802929,561364
803434,561364
803435,561364
804108,561364
1084397,561364
1084398,561364
1084428,561364
1084462,561364
1084886,561364
1084914,561364
1085524,561364
1085525,561364
1085526,561364
802063,561365
802067,561365
802068,561365
802072,561365
802074,561365
802075,561365
802094,561365
802095,561365
802096,561365
802098,561365
802100,561365
802127,561365
802128,561365
802131,561365
802132,561365
802133,561365
802146,561365
802148,561365
802153,561365
802154,561365
802155,561365
802156,561365
802157,561365
802158,561365
802159,561365
802160,561365
802161,561365
802164,561365
802185,561365
802419,561365
802433,561365
802445,561365
802464,561365
802465,561365
802466,561365
802467,561365
802973,561365
802974,561365
803076,561365
803436,561365
804109,561365
804478,561365
804479,561365
804480,561365
804481,561365
804582,561365
804583,561365
804584,561365
804585,561365
804586,561365
804587,561365
804588,561365
804589,561365
805358,561365
805360,561365
1084409,561365
1084410,561365
1084411,561365
1084427,561365
1084470,561365
1084495,561365
1084619,561365
1084620,561365
1084621,561365
1084901,561365
1084917,561365
1085000,561365
1085001,561365
1085263,561365
1085264,561365
1085294,561365
1085295,561365
1085517,561365
1085518,561365
1085519,561365
1085520,561365
1483461,561365
1483462,561365
1559294,561365
1559295,561365
1559309,561365
1559310,561365
802147,561366
802149,561366
802150,561366
802151,561366
802152,561366
802162,561366
802163,561366
802165,561366
802166,561366
802167,561366
802171,561366
802172,561366
802181,561366
802182,561366
802196,561366
802197,561366
802202,561366
802203,561366
802204,561366
802214,561366
802215,561366
802216,561366
802441,561366
802442,561366
802443,561366
802444,561366
802457,561366
805237,561366
805238,561366
805359,561366
1084631,561366
1085008,561366
1483276,561366
1483277,561366
1483278,561366
1483279,561366
1483280,561366
1559350,561366
802271,561367
802276,561367
804043,561367
805354,561367
1084414,561367
1084715,561367
1084716,561367
1085651,561367
1085652,561367
1257549,561367
1257551,561367
1257552,561367
1257553,561367
1257554,561367
1483290,561367
1483291,561367
1483292,561367
1483293,561367
1483309,561367
1483315,561367
1559201,561367
374205,562770
350267,562771
351839,562771
574376,562771
574377,562771
574792,562771
574889,562771
993200,562771
993201,562771
1071968,562771
1072260,562771
1072751,562771
1072752,562771
1208001,562771
1208002,562771
1231029,562771
1371700,562771
375150,562772
378861,562772
570180,562772
801967,562772
801974,562772
801975,562772
801976,562772
801979,562772
801980,562772
801981,562772
801982,562772
801983,562772
801985,562772
802024,562772
802025,562772
802836,562772
802896,562772
802897,562772
803379,562772
803432,562772
803433,562772
804285,562772
804355,562772
804713,562772
804872,562772
804873,562772
804874,562772
1072909,562772
1084386,562772
1084389,562772
1084390,562772
1085420,562772
1085421,562772
1380967,562772
1483248,562772
1483249,562772
1483250,562772
1483251,562772
1483252,562772
1483254,562772
1559286,562772
1559287,562772
347912,562773
348060,562773
348253,562773
348505,562773
348638,562773
349398,562773
351467,562773
351977,562773
351989,562773
352861,562773
353331,562773
801984,562773
801989,562773
801990,562773
801991,562773
801992,562773
801993,562773
801994,562773
801995,562773
801996,562773
801997,562773
801998,562773
802036,562773
802037,562773
802038,562773
802048,562773
802050,562773
802913,562773
804180,562773
804181,562773
804182,562773
804352,562773
804353,562773
804354,562773
804356,562773
804707,562773
804708,562773
804709,562773
805148,562773
805149,562773
1084393,562773
1084399,562773
1084463,562773
1085433,562773
1085434,562773
1085435,562773
1085630,562773
1243999,562773
1483262,562773
1483263,562773
1483565,562773
1559284,562773
1559285,562773
1559288,562773
1559289,562773
1559406,562773
1559407,562773
1559408,562773
1559409,562773
1559410,562773
1559411,562773
1559412,562773
347979,562774
348198,562774
350097,562774
350373,562774
350529,562774
350622,562774
351017,562774
351846,562774
353146,562774
353572,562774
353711,562774
354600,562774
354837,562774
802039,562774
802043,562774
802044,562774
802045,562774
802046,562774
802078,562774
802079,562774
802080,562774
802081,562774
802086,562774
802087,562774
802088,562774
802089,562774
802090,562774
802091,562774
802129,562774
802436,562774
802438,562774
802439,562774
802440,562774
802838,562774
802839,562774
802914,562774
804110,562774
804111,562774
804112,562774
804776,562774
1084404,562774
1084405,562774
1084406,562774
1084408,562774
1084421,562774
1084422,562774
1084445,562774
1084647,562774
1084714,562774
1084888,562774
1084902,562774
1085014,562774
1085254,562774
1085255,562774
1085256,562774
1085257,562774
1085258,562774
1085259,562774
1085260,562774
1085261,562774
1085262,562774
1085521,562774
1085522,562774
1085523,562774
1085645,562774
1085646,562774
1085647,562774
1085648,562774
1244002,562774
1257542,562774
1257543,562774
1257544,562774
1257545,562774
1257546,562774
1277937,562774
1277938,562774
1277939,562774
1277940,562774
1277941,562774
1370895,562774
1430661,562774
1430663,562774
1483265,562774
1559158,562774
1559391,562774
1559392,562774
1559393,562774
1559394,562774
350413,562775
375593,562775
570240,562775
570265,562775
570269,562775
802076,562775
802077,562775
802082,562775
802083,562775
802084,562775
802085,562775
802099,562775
802101,562775
802102,562775
802103,562775
802104,562775
802105,562775
802106,562775
802107,562775
802108,562775
802109,562775
802110,562775
802111,562775
802112,562775
802113,562775
802114,562775
802115,562775
802130,562775
802174,562775
802175,562775
802176,562775
802183,562775
802184,562775
802186,562775
802187,562775
802188,562775
802227,562775
802410,562775
802446,562775
802447,562775
802452,562775
802453,562775
803565,562775
803566,562775
804329,562775
804590,562775
805019,562775
805020,562775
805021,562775
805022,562775
1084407,562775
1084429,562775
1084502,562775
1084889,562775
1084903,562775
1085002,562775
1085296,562775
1430690,562775
1430691,562775
1430692,562775
1483266,562775
1483267,562775
1483268,562775
1483269,562775
1483516,562775
1559297,562775
348890,562776
349517,562776
350751,562776
351569,562776
353263,562776
354304,562776
354641,562776
570294,562776
570295,562776
570296,562776
802168,562776
802169,562776
802170,562776
802177,562776
802178,562776
802179,562776
802201,562776
802205,562776
802206,562776
802207,562776
802208,562776
802209,562776
802210,562776
802211,562776
802212,562776
802213,562776
802218,562776
802219,562776
802221,562776
802222,562776
802223,562776
802224,562776
802225,562776
802226,562776
802448,562776
802449,562776
802455,562776
802456,562776
802458,562776
803173,562776
803174,562776
803657,562776
803658,562776
803659,562776
803660,562776
803661,562776
1084412,562776
1371530,562776
1430688,562776
1483281,562776
1483282,562776
1483283,562776
1483284,562776
1483285,562776
1483286,562776
1483287,562776
1483288,562776
1483289,562776
1559141,562776
1559296,562776
1559298,562776
1559299,562776
348009,562777
348713,562777
349695,562777
350507,562777
351668,562777
351885,562777
352514,562777
570335,562777
802217,562777
802220,562777
802270,562777
802272,562777
802274,562777
802275,562777
802277,562777
802278,562777
802279,562777
802280,562777
802281,562777
802282,562777
802283,562777
802291,562777
802292,562777
802293,562777
802294,562777
802425,562777
802454,562777
802473,562777
802474,562777
803102,562777
803103,562777
803104,562777
803738,562777
804045,562777
1084415,562777
1084432,562777
1084446,562777
1084546,562777
1084890,562777
1084958,562777
1085649,562777
1085650,562777
1277914,562777
1277915,562777
1370785,562777
1483294,562777
1483296,562777
1483297,562777
1483298,562777
1483299,562777
1483300,562777
1483301,562777
1483302,562777
1483303,562777
1483304,562777
1483323,562777
1483324,562777
1483325,562777
1483326,562777
1559202,562777
1559303,562777
1559304,562777
347595,562778
349096,562778
352435,562778
354121,562778
568864,562778
570326,562778
570327,562778
802290,562778
802295,562778
802311,562778
802312,562778
802313,562778
802314,562778
802315,562778
802316,562778
802329,562778
802330,562778
802331,562778
802332,562778
802333,562778
802334,562778
802335,562778
802336,562778
802337,562778
802338,562778
802339,562778
802342,562778
802344,562778
802346,562778
802347,562778
802423,562778
802424,562778
803120,562778
803156,562778
804211,562778
804212,562778
804213,562778
804214,562778
1084417,562778
1084545,562778
1084891,562778
1085320,562778
1085321,562778
1430249,562778
1430250,562778
1483317,562778
1483391,562778
1483392,562778
1559351,562778
1559352,562778
1559353,562778
348514,562779
348857,562779
349667,562779
568862,562779
570623,562779
571083,562779
571084,562779
802376,562779
802377,562779
802378,562779
802379,562779
802380,562779
802381,562779
802382,562779
1371624,562779
348196,564180
349090,564180
352373,564180
353012,564180
374281,564180
375717,564180
376457,564180
377029,564180
377264,564180
377307,564180
377590,564180
377783,564180
377793,564180
378570,564180
378782,564180
378860,564180
379375,564180
575294,564180
1370672,564180
1371068,564180
1379745,564180
1379772,564180
1380812,564180
1380824,564180
1380870,564180
1432002,564180
1432179,564180
1432426,564180
1432428,564180
1432429,564180
374004,564181
374188,564181
374438,564181
374690,564181
374710,564181
374971,564181
375143,564181
375218,564181
376125,564181
376560,564181
377010,564181
377316,564181
377330,564181
377570,564181
377697,564181
378185,564181
378300,564181
378406,564181
378465,564181
378578,564181
378971,564181
379055,564181
573626,564181
573640,564181
573641,564181
573995,564181
573996,564181
574505,564181
574506,564181
574509,564181
574793,564181
574890,564181
575387,564181
575469,564181
1231143,564181
1244484,564181
1244485,564181
1379820,564181
1379856,564181
1379871,564181
1379938,564181
1380077,564181
1380334,564181
1380620,564181
1380865,564181
1381063,564181
1381082,564181
1381212,564181
