datetime,gridmet_id,ETo_mm,ETr_mm,precip_mm
2000-01-31T00:00:00Z,568420,44.559307073273594,70.33399242186168,3.9586802602976303
2000-01-31T00:00:00Z,568421,44.57095987574137,70.37891094452227,2.8913110412061007
2000-01-31T00:00:00Z,569817,45.79429006505679,72.39229058989885,3.6885780790849925
2000-01-31T00:00:00Z,569818,46.00160147018505,72.74191021727819,3.706168465683393
2000-01-31T00:00:00Z,569819,45.726839256813754,72.26866308991109,3.8260301855149255
2000-01-31T00:00:00Z,569820,45.48985433305057,71.86038609397764,3.8188670226656716
2000-01-31T00:00:00Z,569821,45.40208709095617,71.70038233490419,3.545234060138512
2000-01-31T00:00:00Z,569822,45.44937286017911,71.77908888119828,3.4000893718239116
2000-01-31T00:00:00Z,569823,45.41072923490815,71.70833711451475,3.62658196668316
2000-01-31T00:00:00Z,569824,45.44903392716677,71.77706394683325,3.9443989170449134
2000-01-31T00:00:00Z,569825,45.44520526305518,71.76788468042274,4.057477973796033
2000-01-31T00:00:00Z,569826,45.32827741114805,71.56497689987314,4.631474871881711
2000-01-31T00:00:00Z,569827,45.32691318921704,71.56565027132481,4.891200915245829
2000-01-31T00:00:00Z,569828,45.18658313611968,71.34231587919433,4.6724175249708
2000-01-31T00:00:00Z,578286,45.645951922364056,71.98811204628913,4.7905517399960535
2000-01-31T00:00:00Z,578287,45.55591930317735,71.85016840017825,4.840251354923054
2000-01-31T00:00:00Z,578288,45.25789996898185,71.34847090792856,5.080526109709406
2000-01-31T00:00:00Z,579689,44.24067851667499,69.5039857592859,3.3471853652066095
2000-01-31T00:00:00Z,579690,44.510208018213156,69.97882924123928,3.468428588693281
2000-01-31T00:00:00Z,579691,44.68294056076432,70.29009231308778,3.439451935402312
2000-01-31T00:00:00Z,579692,44.75186514486773,70.41048589416773,3.6000594419691176
2000-01-31T00:00:00Z,579693,44.94157008040883,70.73552922259468,4.68951864142639
2000-01-31T00:00:00Z,579694,45.12424185598919,71.0519709621751,4.84650558830305
2000-01-31T00:00:00Z,562774,42.824118921998156,67.43176141777803,3.498727995050992
2000-01-31T00:00:00Z,562775,42.85085301901638,67.48634944310226,3.5144924900532217
2000-01-31T00:00:00Z,562776,42.90112437001447,67.56836013228403,3.6752223135685353
2000-01-31T00:00:00Z,562777,43.1908294627791,68.06695127058357,3.848569591546489
2000-01-31T00:00:00Z,562778,43.47064748980136,68.55991538425067,3.938686822672814
2000-01-31T00:00:00Z,562779,43.67504631876302,68.93734175446545,3.77786336463326
2000-01-31T00:00:00Z,564179,43.57984446026204,68.69494248052251,3.419584924698689
2000-01-31T00:00:00Z,564180,43.24185463915452,68.1058760915038,3.3364478137439066
2000-01-31T00:00:00Z,564181,43.15667877793702,67.9593234542756,3.280246757102939
2000-01-31T00:00:00Z,564182,42.89641737588159,67.51910537015704,3.47860759535395
2000-01-31T00:00:00Z,564183,43.060863325022055,67.79925430236214,3.537080266773714
2000-01-31T00:00:00Z,564184,43.11199490706888,67.89446481186242,3.5508000763732825
2000-01-31T00:00:00Z,564185,43.11479543538534,67.90200259900516,3.5545090067538814
2000-01-31T00:00:00Z,564186,43.08590005710159,67.84787280260869,3.754440171453538
2000-01-31T00:00:00Z,564187,43.31975199349465,68.25807365412284,3.774050840909978
2000-01-31T00:00:00Z,564188,43.525688934666555,68.62740739288645,3.8546567107809304
2000-01-31T00:00:00Z,564189,43.751897060912256,69.04301143417482,3.743698991230789
2000-01-31T00:00:00Z,564190,43.90019289079443,69.32028565299206,3.7130558519716472
2000-01-31T00:00:00Z,564191,43.994774860723496,69.49574495466499,3.427534658881489
2000-01-31T00:00:00Z,565589,43.994870372269666,69.37877396647131,3.509040010192357
2000-01-31T00:00:00Z,565590,43.706471320679704,68.87889823103336,3.4035449694229714
2000-01-31T00:00:00Z,565591,43.707861593106216,68.88315965057868,3.272239142077861
2000-01-31T00:00:00Z,565592,43.699199449133815,68.87147363521564,3.369361789097491
2000-01-31T00:00:00Z,565593,43.68655853554476,68.84237425342027,3.5190405196443937
2000-01-31T00:00:00Z,565594,43.71428625747154,68.89003201261943,3.6161658523803104
2000-01-31T00:00:00Z,565595,43.67688362526169,68.82592826927568,3.670495604057815
2000-01-31T00:00:00Z,565596,43.52822091732669,68.57363780493064,3.868360090506023
2000-01-31T00:00:00Z,565597,43.66300064884988,68.81956845391004,3.9623870035277498
2000-01-31T00:00:00Z,565598,43.753245504574046,68.98893286224062,3.950063145794533
2000-01-31T00:00:00Z,565599,43.974998924788274,69.39274398340616,3.8391131588539995
2000-01-31T00:00:00Z,565600,44.1417769155696,69.69114181520345,3.570720238249775
2000-01-31T00:00:00Z,565601,44.239116293394524,69.86763515631095,2.776572977057086
2000-01-31T00:00:00Z,566998,44.82652205283994,70.7946759843756,3.6281581988462683
2000-01-31T00:00:00Z,566999,44.52565528469421,70.27756083604042,3.6786552564115444
2000-01-31T00:00:00Z,567000,44.170630755976994,69.66817214059562,3.3764840189874192
2000-01-31T00:00:00Z,567001,44.15495799570401,69.63465188565544,3.126761110072626
2000-01-31T00:00:00Z,567002,44.305305867743826,69.88211238348518,3.260123123532657
2000-01-31T00:00:00Z,567003,44.16301043564032,69.62991425177145,3.5041894677206065
2000-01-31T00:00:00Z,567004,44.283207578017574,69.83993891525895,3.6694702432651702
2000-01-31T00:00:00Z,567005,44.27703799843305,69.82743354456346,3.8883644086331612
2000-01-31T00:00:00Z,567006,44.13340329623262,69.58843264244662,3.995153576645494
2000-01-31T00:00:00Z,567007,44.17800095454245,69.67270860944801,4.0044894011403525
