UID,irr2006,irr2007,irr2008,irr2009,irr2010,irr2011,irr2012,irr2013,irr2014,irr2015,irr2016,irr2017,irr2018
347636,0,0,0,0,0,0,0,0,0,0,0,0,0
347637,0,0,0,0,0,0,0,0,0,0,0,0,0
347638,0,0,0,0,0,0,0,0,0,0,0,0,0
347640,0,0,0,0,0,0,0,0,0,0,0,0,0
347642,0,0,0,0,0,0,0,0,0,0,0,0,0
347644,0,0,0,0,0,0,0,0,0,0,0,0,0
347645,0,0,0,0,0,0,0,0,0,0,0,0,0
347646,0,0,0,0,0,0,0,0,0,0,0,0,0
347647,0,0,0,0,0,0,0,0,0,0,0,0,0
347648,0,0,0,0,0,0,0,0,0,0,0,0,0
347649,0,0,0,0,0,0,0,0,0,0,0,0,0
347650,0,0,0,0,0,0,0,0,0,0,0,0,0
347652,0,0,0,0,0,0,0,0,0,0,0,0,0
347653,0,0,0,0,0,0,0,0,0,0,0,0,0
347654,1,1,1,1,1,1,1,1,1,1,1,1,1
347656,0,0,0,0,0,0,0,0,0,0,0,0,0
347657,0,0,0,0,0,0,0,0,0,0,0,0,0
347659,0,0,0,0,0,0,0,0,0,0,0,0,0
347660,0,0,0,0,0,0,0,0,0,0,0,0,0
347662,0,0,0,0,0,0,0,0,0,0,0,0,0
347663,1,1,1,1,1,1,1,1,1,1,1,1,1
347664,0,0,0,0,0,0,0,0,0,0,0,0,0
347670,0,1,1,0,1,1,1,1,1,0,1,1,0
347671,0,0,0,0,0,0,0,0,0,0,0,0,0
347673,0,0,0,0,0,0,0,0,0,0,0,0,0
347674,0,0,0,0,0,0,0,0,0,0,0,0,0
347676,0,0,0,0,0,0,0,0,0,0,0,0,0
347679,0,0,0,0,0,0,0,0,0,0,0,0,0
347680,0,0,0,0,0,0,0,0,0,0,0,0,0
347685,0,0,0,0,0,0,0,0,0,0,0,0,0
347686,0,0,0,0,0,0,0,0,0,0,0,0,0
347687,1,1,1,1,1,1,1,1,1,1,1,1,1
347688,0,0,0,0,0,0,0,0,0,0,0,0,0
347690,1,1,1,1,1,1,1,1,1,1,1,1,1
347691,0,0,0,0,0,0,0,0,0,0,0,0,0
347693,0,0,0,0,0,0,0,0,0,0,0,0,0
347695,0,0,0,0,0,0,0,0,0,0,0,0,0
347697,0,0,0,0,0,0,0,0,0,0,0,0,0
347698,0,0,0,0,0,0,0,0,0,0,0,0,0
347700,0,0,0,0,0,0,0,0,0,0,0,0,0
347701,0,0,0,0,0,0,0,0,0,0,0,0,0
347702,0,0,0,0,0,0,0,0,0,0,0,0,0
347703,0,0,0,0,0,0,0,0,0,0,0,0,0
347705,1,0,1,1,1,1,1,1,1,1,0,1,1
347708,0,0,0,0,0,0,0,0,0,0,0,0,0
347710,0,0,0,0,0,0,0,0,0,0,0,0,0
347713,0,0,0,0,0,0,0,0,0,0,0,0,0
347714,0,0,0,0,0,0,0,0,0,0,0,0,0
347715,0,1,1,0,1,1,1,1,1,1,0,1,1
347716,0,0,0,0,0,0,0,0,0,0,0,0,0
347717,0,0,0,0,0,0,0,0,0,0,0,0,0
347721,0,0,0,0,0,0,0,0,0,0,0,0,0
347722,0,0,0,0,0,0,0,0,0,0,0,0,0
347723,0,0,0,0,0,0,0,0,0,0,0,0,0
347725,0,1,1,1,1,1,0,1,0,1,1,0,1
347726,0,0,0,0,0,0,0,0,0,0,0,0,0
347728,0,0,0,0,0,0,0,0,0,0,0,0,0
347729,1,1,1,1,1,1,1,1,1,1,1,1,1
347730,0,0,0,0,0,0,0,0,0,0,0,0,0
347731,0,0,0,0,0,0,0,0,0,0,0,0,0
347732,0,0,0,0,0,0,0,0,0,0,0,0,0
347733,0,0,0,0,0,0,0,0,0,0,0,0,0
347735,0,0,0,0,0,0,0,0,0,0,0,0,0
347736,0,0,0,0,0,0,0,0,0,0,0,0,0
347738,0,0,0,0,0,0,0,0,0,0,0,0,0
347739,0,0,0,0,0,0,0,0,0,0,0,0,0
347740,1,1,1,0,1,1,1,1,0,1,1,0,1
347742,0,0,0,0,0,0,0,0,0,0,0,0,0
347746,0,0,0,0,0,0,0,0,0,0,0,0,0
347747,1,1,1,1,1,1,1,1,1,1,1,1,1
347749,0,0,0,0,0,0,0,0,0,0,0,0,0
347750,1,1,1,1,1,1,0,1,1,1,1,1,1
347753,0,0,0,0,0,0,0,0,0,0,0,0,0
347754,0,0,0,0,0,0,0,0,0,0,0,0,0
347755,0,0,0,0,0,0,0,0,0,0,0,0,0
347757,0,0,0,0,0,0,0,0,0,0,0,0,0
347758,0,0,0,0,0,0,0,0,0,0,0,0,0
347760,0,0,0,0,0,0,0,0,0,0,0,0,0
347763,0,0,0,0,0,0,0,0,0,0,0,0,0
347766,0,0,0,0,0,0,0,0,0,0,0,0,0
347767,1,1,1,1,1,1,1,1,1,1,1,1,1
347768,0,0,0,0,0,0,0,0,0,0,0,0,0
347769,0,0,0,0,0,0,0,0,0,0,0,0,0
347771,0,0,0,0,0,0,0,0,0,0,0,0,0
347772,0,0,0,0,0,0,0,0,0,0,0,0,0
347773,0,0,0,0,0,0,0,0,0,0,0,0,0
347774,0,0,0,0,0,0,0,0,0,0,0,0,0
347775,0,0,0,0,0,0,0,0,0,0,0,0,0
347779,1,1,1,0,1,1,1,1,1,1,1,1,1
347780,0,0,0,0,0,0,0,0,0,0,0,0,0
347781,0,0,0,0,0,0,0,0,0,0,0,0,0
347782,1,1,1,1,1,1,1,1,1,1,1,1,1
347783,0,0,0,0,0,0,0,0,0,0,0,0,0
347784,0,0,0,0,0,0,0,0,0,0,0,0,0
347785,0,0,0,0,0,0,0,0,0,0,0,0,0
347786,0,0,0,0,0,0,0,0,0,0,0,0,0
347788,1,1,1,1,1,1,1,1,1,1,1,1,1
347789,1,1,1,1,1,1,1,1,1,1,1,1,1
347790,0,0,0,0,0,0,0,0,0,0,0,0,0
347791,0,0,0,0,0,0,0,0,0,0,0,0,0
347792,1,1,1,1,1,1,1,1,1,1,1,1,1
347794,0,0,0,0,0,0,0,0,0,0,0,0,0
347796,0,1,1,1,1,1,1,1,1,1,1,1,1
347797,0,0,0,0,0,0,0,0,0,0,0,0,0
347800,0,0,0,0,0,0,0,0,0,0,0,0,0
347802,0,0,0,0,0,0,0,0,0,0,0,0,0
347804,0,1,1,1,1,1,1,1,1,1,1,1,1
347805,0,0,0,0,0,0,0,0,0,0,0,0,0
347806,0,0,0,0,0,0,0,0,0,0,0,0,0
347807,0,0,0,0,0,0,0,0,0,0,0,0,0
347809,0,0,0,0,0,0,0,0,0,0,0,0,0
347810,1,1,1,0,1,0,1,1,1,0,1,1,1
347812,0,0,0,0,0,0,0,0,0,0,0,0,0
347813,1,1,1,1,1,1,1,1,1,1,1,1,1
347814,0,0,0,0,0,0,0,0,0,0,0,0,0
347815,0,0,0,0,0,0,0,0,0,0,0,0,0
347816,0,0,0,0,0,0,0,0,0,0,0,0,0
347818,1,1,1,1,1,1,1,1,1,1,0,1,1
347820,0,0,0,0,0,0,0,0,0,0,0,0,0
347821,0,1,1,1,1,1,1,1,1,1,1,1,1
347823,0,0,0,0,0,0,0,0,0,0,0,0,0
347825,0,0,0,0,0,0,0,0,0,0,0,0,0
347826,1,1,0,1,1,0,1,1,0,1,1,0,1
347827,0,0,0,0,0,0,0,0,0,0,0,0,0
347828,1,1,1,1,1,1,1,0,1,1,1,1,1
347829,0,0,0,0,0,0,0,0,0,0,0,0,0
347832,0,0,0,0,0,0,0,0,0,0,0,0,0
347833,0,0,0,0,0,0,0,0,0,0,0,0,0
347834,0,0,0,0,0,0,0,0,0,0,0,0,0
347835,0,0,0,0,0,0,0,0,0,0,0,0,0
347837,1,1,1,0,1,0,1,1,0,1,1,1,1
347838,0,1,1,1,1,1,1,1,1,1,1,1,1
347839,0,0,0,0,0,0,0,0,0,0,0,0,0
347840,0,0,0,0,0,0,0,0,0,0,0,0,0
347841,1,1,1,1,0,1,1,0,1,1,0,1,1
347842,0,0,0,0,0,0,0,0,0,0,0,0,0
347843,0,0,0,0,0,0,0,0,0,0,0,0,0
347846,0,0,0,0,0,0,0,0,0,0,0,0,0
347847,1,1,1,1,1,1,1,1,1,1,1,1,1
347848,1,1,1,1,1,1,1,1,0,1,1,1,1
347849,0,0,0,0,0,0,0,0,0,0,0,0,0
347850,0,0,0,0,0,0,0,0,0,0,0,0,0
347851,0,0,0,0,0,0,0,0,0,0,0,0,0
347852,1,1,1,1,1,1,1,1,1,1,1,1,1
347853,0,0,0,0,0,0,0,0,0,0,0,0,0
347854,0,1,0,1,1,1,1,1,0,1,0,1,1
347857,0,0,0,0,0,0,0,0,0,0,0,0,0
347858,0,0,0,0,0,0,0,0,0,0,0,0,0
347859,0,0,0,0,0,0,0,0,0,0,0,0,0
347860,0,0,0,0,0,0,0,0,0,0,0,0,0
347861,0,0,0,0,0,0,0,0,0,0,0,0,0
347862,0,0,0,0,0,0,0,0,0,0,0,0,0
347865,0,0,0,0,0,0,0,0,0,0,0,0,0
347866,0,0,0,0,0,0,0,0,0,0,0,0,0
347867,0,0,0,0,0,0,0,0,0,0,0,0,0
347870,0,0,0,0,0,0,0,0,0,0,0,0,0
347871,0,0,0,0,0,0,0,0,0,0,0,0,0
347872,0,0,0,0,0,0,0,0,0,0,0,0,0
347873,0,0,0,0,0,0,0,0,0,0,0,0,0
347875,0,0,0,0,0,0,0,0,0,0,0,0,0
347877,1,1,1,1,1,1,1,1,1,1,1,1,1
347879,0,0,0,0,0,0,0,0,0,0,0,0,0
347881,1,1,1,1,1,1,1,1,1,1,1,1,1
347882,0,0,0,0,0,0,0,0,0,0,0,0,0
347883,0,0,0,0,0,0,0,0,0,0,0,0,0
347884,0,0,0,0,0,0,0,0,0,0,0,0,0
347887,0,0,0,0,0,0,0,0,0,0,0,0,0
347889,1,1,1,1,1,1,0,1,1,0,1,1,0
347890,1,1,1,1,1,0,1,1,0,0,1,1,1
347891,0,0,0,0,0,0,0,0,0,0,0,0,0
347892,1,1,1,0,1,0,1,1,0,1,0,1,1
347894,0,0,0,0,0,0,0,0,0,0,0,0,0
347895,0,0,0,0,0,0,0,0,0,0,0,0,0
347896,0,0,0,0,0,0,0,0,0,0,0,0,0
347898,0,0,0,0,0,0,0,0,0,0,0,0,0
347901,1,1,0,1,1,1,1,0,1,1,1,0,1
347902,0,0,0,0,0,0,0,0,0,0,0,0,0
347904,1,1,1,1,1,1,1,1,1,1,1,1,1
347905,0,0,0,0,0,0,0,0,0,0,0,0,0
347908,0,0,0,0,0,0,0,0,0,0,0,0,0
347909,0,0,0,0,0,0,0,0,0,0,0,0,0
347910,0,0,0,0,0,0,0,0,0,0,0,0,0
347911,0,0,0,0,0,0,0,0,0,0,0,0,0
347912,0,0,0,0,0,0,0,0,0,0,0,0,0
347914,0,0,0,0,0,0,0,0,0,0,0,0,0
347915,0,0,0,0,0,0,0,0,0,0,0,0,0
347920,1,1,1,1,1,1,1,1,1,1,1,1,1
347921,0,0,0,0,0,0,0,0,0,0,0,0,0
347922,0,0,0,0,0,0,0,0,0,0,0,0,0
347923,0,0,0,0,0,0,0,0,0,0,0,0,0
347926,1,1,1,1,1,1,1,1,1,1,0,1,1
347927,0,0,0,0,0,0,0,0,0,0,0,0,0
347929,1,1,1,1,1,1,1,1,1,1,1,1,1
347930,0,0,0,0,0,0,0,0,0,0,0,0,0
347933,0,0,0,0,0,0,0,0,0,0,0,0,0
347934,1,1,1,1,1,1,1,1,1,1,1,1,1
347935,0,0,0,0,0,0,0,0,0,0,0,0,0
347936,0,0,0,0,0,0,0,0,0,0,0,0,0
347938,0,0,0,0,0,0,0,0,0,0,0,0,0
347939,0,0,0,0,0,0,0,0,0,0,0,0,0
347941,0,0,0,0,0,0,0,0,0,0,0,0,0
347943,1,1,1,1,1,1,1,1,1,1,1,1,1
347944,0,0,0,0,0,0,0,0,0,0,0,0,0
347945,0,0,0,0,0,0,0,0,0,0,0,0,0
347946,0,0,0,0,0,0,0,0,0,0,0,0,0
347948,0,0,0,0,0,0,0,0,0,0,0,0,0
347949,0,0,0,0,0,0,0,0,0,0,0,0,0
347950,0,0,0,0,0,0,0,0,0,0,0,0,0
347952,0,0,0,0,0,0,0,0,0,0,0,0,0
347953,1,1,1,1,1,1,1,1,1,1,1,1,1
347954,1,1,1,1,1,0,1,1,0,1,1,0,1
347955,0,0,0,0,0,0,0,0,0,0,0,0,0
347957,0,0,0,0,0,0,0,0,0,0,0,0,0
347958,0,0,0,0,0,0,0,0,0,0,0,0,0
347960,0,0,0,0,0,0,0,0,0,0,0,0,0
