ts,lmInt,lmSlope,r2
Annual,-229.89801267639902,0.5611398102489887,0.8889209318200167
WaterYear,-221.37329646324372,0.5516631331500622,0.6989720919791444
GrowingSeason,-233.20985029557428,0.6502921304280436,0.9034190742237792
