WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
4,2018,geesebal,2,1,465576.74,0,2,1,307851.59,52194.1,30586,1,465576.73825298017,0.9999999962476223,76475.87502984,376357.65
4,2018,ptjpl,2,1,465576.74,0,2,1,346323.8,52483.8,69058.2,1,465576.73825298017,0.9999999962476223,76475.87502984,376357.65
4,2018,sims,2,1,465576.74,0,2,1,399343.67,32598.9,122078,1,465576.73825298017,0.9999999962476223,76475.87502984,376357.65
4,2018,ssebop,2,1,465576.74,0,2,1,414632.92,59848.1,137367.3,1,465576.73825298017,0.9999999962476223,76475.87502984,376357.65
6,2016,disalexi,4,3,507061.5,0,0,1,281467.6,39933.4,59024.7,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,eemetric,4,3,507061.5,0,0,1,415225.63,85229.5,192782.8,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,ensemble,4,3,507061.5,0,0,1,383900.83,64887.3,161458,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,geesebal,4,3,507061.5,0,0,1,313398.49,54165.6,90955.6,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,ptjpl,4,3,507061.5,0,0,1,367702.97,41445.6,145260.2,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,sims,4,3,507061.5,0,0,1,449585.77,47296,227142.9,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2016,ssebop,4,3,507061.5,0,0,1,470421.86,99324.2,247979,1,507061.49816170597,0.9999999963746132,170220.49603416,485622.77
6,2017,disalexi,4,1,507061.5,0,0,3,299783.08,NA,0,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,eemetric,4,1,507061.5,0,0,3,430523.71,NA,77074.4,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,ensemble,4,1,507061.5,0,0,3,401664.92,NA,48210.8,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,geesebal,4,1,507061.5,0,0,3,353044.6,NA,15265,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,ptjpl,4,1,507061.5,0,0,3,377903.7,NA,25086,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,sims,4,1,507061.5,0,0,3,484449.84,NA,130825.3,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2017,ssebop,4,1,507061.5,0,0,3,455916.87,NA,102292.2,5,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
