WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
6,2016,ssebop,531684.85,786903.67,1120002.51,252455.78,470568.28,170220.5,485622.77,170220.5,507061.5,4,0,0,1,507061.498161706,1
6,2017,disalexi,259708.62,772528.47,1100825.44,406622.76,231399.57,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2017,eemetric,509737.02,772528.47,1100825.44,406622.76,403087.06,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2017,ensemble,440084.76,772528.47,1100825.44,406622.76,360681.47,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2017,ptjpl,359178.51,772528.47,1100825.44,406622.76,335923.21,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2017,sims,403678.22,772528.47,1100825.44,406622.76,332056.57,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2017,ssebop,510065.46,772528.47,1100825.44,406622.76,420163.94,91277.66,485622.77,91277.66,507061.5,4,0,0,5,254565.66220562626,3
6,2018,disalexi,331257.38,747844.72,1056396.71,373658.69,273031.06,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
6,2018,eemetric,462187.96,747844.72,1056396.71,373658.69,372192.85,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
6,2018,ensemble,420105.7,747844.72,1056396.71,373658.69,361549.64,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
6,2018,ptjpl,355271.27,747844.72,1056396.71,373658.69,332970.65,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
6,2018,sims,360812.03,747844.72,1056396.71,373658.69,309350.94,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
6,2018,ssebop,518552.58,747844.72,1056396.71,373658.69,433572.75,91277.66,485622.77,91277.66,507061.5,4,0,0,24,254565.66220562626,2
