gridmet_id,Year,ETo_mm,ETr_mm,precip_mm
562772,2010,1459.6,2055.76,586.79
562772,2011,1612.63,2322.6,612.39
562772,2012,1791.67,2622.17,326.86
562772,2013,1486.84,2118,412.82
562772,2014,1439.74,2042.82,483.73
562772,2015,1450.72,2036.08,530.03
562772,2016,1473.15,2071.54,540.55
562772,2017,1459.31,2058.61,715.48
562772,2018,1380.64,1920.38,673.22
562772,2019,1304.93,1795.85,811.25
562772,2020,1547.58,2214.03,371.22
562773,2006,1492.21,2111.46,549.49
562773,2007,1381.43,1910.62,485.32
562773,2008,1385.02,1943.06,607.72
562773,2009,1284.32,1769.32,668.07
562773,2010,1457.29,2051.6,586.92
562773,2011,1615.85,2327.58,617.01
562773,2012,1792.67,2623.25,330.82
562773,2013,1490.35,2123.76,410.28
562773,2014,1441.44,2045.47,487.41
562773,2015,1454.43,2042.29,558.14
562773,2016,1472.68,2070.04,557.1
562773,2017,1461.98,2062.53,712.22
562773,2018,1378.18,1914.74,652.04
562773,2019,1303.89,1793.28,813.3
562773,2020,1546.89,2211.79,388.18
562774,2006,1494.9,2116.57,557.32
562774,2007,1382.54,1912.4,485.29
562774,2008,1385.36,1943.41,608.75
562774,2009,1286.32,1772.84,665.96
562774,2010,1459.64,2055.73,575.96
562774,2011,1621.36,2336.86,619.96
562774,2012,1796.2,2629.11,332.19
562774,2013,1496.22,2133.99,410.61
562774,2014,1446.49,2054.22,491.92
562774,2015,1461.68,2054.94,579.23
562774,2016,1476.3,2075.94,575.65
562774,2017,1467.65,2072.02,720.65
562774,2018,1377.71,1915.55,646.47
562774,2019,1305.77,1795.72,785.75
562774,2020,1547.57,2213.64,402.33
562775,2006,1496.05,2118.84,565.38
562775,2007,1383.1,1913.19,484.11
562775,2008,1384.8,1942.2,611.67
562775,2009,1287.54,1774.98,667.78
562775,2010,1460.49,2057.15,562.15
562775,2011,1625.01,2342.92,621.27
562775,2012,1797.9,2631.79,331.65
562775,2013,1500.26,2141.05,411.83
562775,2014,1450.06,2060.4,494.6
562775,2015,1466.33,2063.11,582.21
562775,2016,1477.7,2078.02,577.2
562775,2017,1470.97,2076.78,710.4
562775,2018,1375.24,1912.14,657.29
562775,2019,1305.55,1796.21,749.2
562775,2020,1547.4,2214.18,414.43
562776,2006,1497.01,2120.97,574.87
562776,2007,1383.11,1913.32,483.59
562776,2008,1383.59,1940.12,619.15
562776,2009,1286.32,1773.16,668.98
562776,2010,1461.27,2058.55,551.13
562776,2011,1627.77,2347.6,622.53
562776,2012,1799.17,2633.8,330.19
562776,2013,1503.79,2147.39,411.14
562776,2014,1453.76,2066.95,498
562776,2015,1470.52,2070.65,565.23
562776,2016,1478.21,2078.77,595.98
562776,2017,1474.55,2084.22,697.86
562776,2018,1372.63,1906.9,667.98
562776,2019,1304.31,1793.08,726.36
562776,2020,1545.38,2211.05,416.51
562777,2006,1500.48,2127.25,586.78
562777,2007,1384.71,1916.07,484.63
562777,2008,1384,1940.6,632.77
562777,2009,1286.5,1773.59,668.9
562777,2010,1462.26,2060.34,556.16
562777,2011,1631.8,2354.47,627.65
562777,2012,1802.02,2638.49,329.11
562777,2013,1508.87,2156.39,409.63
562777,2014,1459.03,2076.12,505.52
562777,2015,1475.85,2080.1,525.59
562777,2016,1479.74,2081.25,608.46
562777,2017,1479.76,2092.74,703.13
562777,2018,1371.82,1904.36,658.36
562777,2019,1304.55,1793.41,721.36
562777,2020,1544.7,2209.45,401.59
562778,2006,1504.53,2134.89,589.03
562778,2007,1386.89,1920.27,480.84
